"IO_ID","Address","OccupantName","StructureName","PropUseType","PropUseTypeDescription","InspectionType_Full","LatestInspDate","InspWithinLastYear","address_id","lon","lat"
"161788","13335 West McNichols","IRepair",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","7/9/2022 11:30:56","Yes",,,
"161764","9540 Greenfield","GLASS BOTTLE SHOPPE, INC",,"500"," Mercantile, Business - Other","ANNUAL Business Occupancy","7/9/2022 11:15:04","Yes","350438","-83.19701","42.366105"
"161763","11408 Greenfield","Hot Wheel City","Hot Wheel City","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","7/9/2022 10:30:36","Yes","216380","-83.197152","42.371836"
"161782","9146 Woodward","LITTLE ROCK BAPTIST CHRISTIAN","LAKESHORE HEATHCARE WOODWARD CAMPUS","UUU"," Undetermined","ANNUAL Institutional Occupancy","6/9/2022 20:14:15","Yes","345060","-83.081637","42.383441"
"161480","45 Monroe","Sugar Factory","One Campus Martius","161"," Restaurant or Cafeteria","ANNUAL Assembly Occupancy","6/9/2022 16:02:18","Yes",,,
"161371","1700 Springwells","ARANDA'S TIRE V","Arandas Tire Sales & Repair V","571"," Service Station, Gas Station","ANNUAL Repair Garage","6/9/2022 15:46:16","Yes","427541","-83.108889","42.290108"
"161165","2039 Springwells","La Rancherita","La Rancherita Discoteca","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","6/9/2022 15:29:36","Yes","52918","-83.126355","42.309789"
"161735","14661 Greenfield","Kut Em Up Barber & Beauty Bar",,"557"," Personal Service, Including Barber & Beauty Shops","ANNUAL Business Occupancy","6/9/2022 14:45:12","Yes","351597","-83.199173","42.396511"
"161743","13151 West McNichols","After All Auto clinic","After All Auto Clinic","000"," Property Use - Other","ANNUAL Repair Garage","6/9/2022 14:00:12","Yes","94979","-83.175126","42.416316"
"161733","7440 West Vernor","Metro PCS","Metro PCS","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","6/9/2022 13:30:40","Yes","36806","-83.123044","42.313542"
"161734","7633 West Vernor","Cricket","Cricket","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","6/9/2022 13:30:02","Yes","459452","-83.123542","42.31267"
"161742","13135 West McNichols","Strike a Match Smoke Shop","Strike a Match Smoke Shop","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","6/9/2022 13:00:55","Yes","94280","-83.174833","42.416362"
"161732","7607 Vernor","Buena Salvd Pharmacy",,"500"," Mercantile, Business - Other","ANNUAL Business Occupancy","6/9/2022 12:30:53","Yes","349906","-83.12355","42.312786"
"161741","13125 West McNichols","KELLY'S THE OTHER SIDE","Michigan Appliances","000"," Property Use - Other","ANNUAL Mercantile Occupancy","6/9/2022 12:30:46","Yes","351128","-83.174941","42.416363"
"151639","13110 West McNichols","Beauty Plus","Beauty Plus","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","6/9/2022 12:00:34","Yes","67677","-83.174645","42.416892"
"161731","7603 West Vernor","DOMINO'S PIZZA","DOMINO'S PIZZA","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","6/9/2022 11:30:46","Yes","349904","-83.123047","42.312859"
"161737","15464 Livernois","Exxon","Sunoco Gas","571"," Service Station, Gas Station","ANNUAL Gas Station","6/9/2022 11:00:39","Yes","28708","-83.139949","42.405756"
"161730","4458 West Vernor","PIZZA PLEX","PIZZA PLEX","100"," Assembly - Other","ANNUAL Mercantile Occupancy","6/9/2022 11:00:13","Yes","541661","-83.096927","42.320022"
"161346","6538 Russell","BANNER SIGN COMPANY",,"600"," Ind., Utility, Defense, Agriculture, Mining - Other","ANNUAL Mercantile Occupancy","6/9/2022 09:59:38","Yes","349686","-83.059052","42.374846"
"161746","4701 McKinley","West Side Academy of IT and Cyber Security - DPS","West Side Academy DPS","200"," Educational - Other","ANNUAL Educational","6/9/2022 09:00:00","Yes","349316","-83.103416","42.342208"
"154427","7707 West Outer Drive","Fellowship Chapel","Fellowship Chapel","100"," Assembly - Other","ANNUAL Institutional Occupancy","2/9/2022 11:19:20","Yes","67741","-83.212004","42.418433"
"161637","12775 Harper","L&H Legacy Banquet Hall",,"100"," Assembly - Other","ANNUAL Assembly Occupancy","1/9/2022 19:43:28","Yes","229501","-82.974595","42.401994"
"160622","15445 West McNichols","SIX MILE & GREENFIELD INC BP GAS STATION","BP GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","1/9/2022 19:28:49","Yes","142840","-83.198784","42.415632"
"161634","11101 MORANG","FIRST STOP TBH LLC",,"500"," Mercantile, Business - Other","ANNUAL Assembly Occupancy","1/9/2022 19:14:19","Yes","536848","-82.942837","42.422969"
"161633","16830 East Warren","Ziryab Music Town","MR S'S WARREN SHOP","549"," Specialty Shop","ANNUAL Mercantile Occupancy","1/9/2022 19:11:23","Yes","333653","-82.932382","42.404843"
"161632","14501 Mack","House of Zen","House of Zen Care Center","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","1/9/2022 19:05:11","Yes","351535","-82.951878","42.386888"
"161937","1337 Winder","WOLVERINE PACKING COMPANY","WOLVERINE PACKING COMPANY","700"," Manufacturing, Processing","ANNUAL 302 Site","1/9/2022 17:43:18","Yes","255168","-83.041213","42.345805"
"161693","14661 Greenfield","Pharmor Pharmacy",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","1/9/2022 16:45:50","Yes","351597","-83.199173","42.396511"
"161692","14918 Greenfield","VON'S MARKET",,"UUU"," Undetermined","ANNUAL Mercantile Occupancy","1/9/2022 15:30:45","Yes","137669","-83.198219","42.398359"
"161673","420 South Fordson","ALJALHAM INVESTMENTS LLC",,"579"," Motor Vehicle or Boat Sales, Services, Repair","ANNUAL Business Occupancy","1/9/2022 14:55:27","Yes","469581","-83.152907","42.293634"
"161624","13226 McNichols  West","Sloppy Chops",,"100"," Assembly - Other","ANNUAL Assembly Occupancy","1/9/2022 14:45:36","Yes","67639","-83.176088","42.416873"
"161451","10240 West McNichols","Strategic Community Partners","Strategic Community Partners","100"," Assembly - Other","ANNUAL Business Occupancy","1/9/2022 14:35:56","Yes","350577","-83.163449","42.417076"
"161938","1340 Winder","WOLVERINE PACKING CO","WOLVERINE PACKING","500"," Mercantile, Business - Other","ANNUAL 302 Site","1/9/2022 13:45:09","Yes","348327","-83.040906","42.345528"
"161623","10740 West McNichols","Dollar Center","Dollar Center","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","1/9/2022 13:15:55","Yes","350673","-83.168957","42.417294"
"161622","10500 West McNichols","Caribbean Citchen","Carribean Citchen","UUU"," Undetermined","ANNUAL Business Occupancy","1/9/2022 12:45:45","Yes","15045","-83.16614","42.417081"
"161616","18343 West Warren","STAR MOTOR SALES","Star Motor Sales","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","1/9/2022 11:30:43","Yes","352488","-83.219014","42.343041"
"161621","10425 McNichols  West","Luxor Liquor","Luxor Liquor","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","1/9/2022 11:30:38","Yes","93889","-83.165219","42.416549"
"161917","2535 Rivard","WOLVERINE PACKING CO","Wolverine Packaging","599"," Business Office","ANNUAL 302 Site","1/9/2022 11:21:18","Yes","258785","-83.042509","42.34548"
"161620","10437 West McNichols","DOMINO'S PIZZA #1297","DOMINO'S PIZZA","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","1/9/2022 11:00:35","Yes","94937","-83.165448","42.416564"
"161619","10011 West McNichols","CVS PHARMACY #8275","CVS","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","1/9/2022 10:00:10","Yes","94371","-83.16085","42.416487"
"159980","5611 Tarnow","RAMO INC/SUNOCO GAS","Citgo Gas Station","571"," Service Station, Gas Station","ANNUAL Gas Station","1/9/2022 09:48:22","Yes","347611","-83.138791","42.336604"
"143946","333 West Fort","FORT WASHINGTON PLAZA","FORT WASHINGTON PLAZA","500"," Mercantile, Business - Other","ANNUAL High Rise","1/9/2022 08:46:39","Yes","36077","-83.049868","42.32926"
"161647","11949 East McNichols","Venue 6",,"100"," Assembly - Other","ANNUAL Assembly Occupancy","31/8/2022 22:30:05","Yes","202847","-83.000589","42.421436"
"161643","14701 West Seven Mile","Omni Liquor Store","OMNI LIQUOR","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","31/8/2022 20:40:41","Yes","65665","-83.19146","42.430417"
"161641","42 Piquette","Z'S PLACE II","Z's Place II","160"," Eating, Drinking Places - Other","ANNUAL Assembly Occupancy","31/8/2022 19:36:31","Yes","335835","-83.069674","42.366475"
"161639","1930 Michigan","WHITE CASTLE #19",,"500"," Mercantile, Business - Other","ANNUAL Business Occupancy","31/8/2022 18:46:51","Yes","238993","-83.072866","42.331723"
"161681","535 Griswold","Faro's Hairstyling Salon","Buhl Building","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","31/8/2022 17:17:18","Yes","292400","-83.04693","42.329429"
"158857","17690 Joy","GAS & MORE 2, INC  SHELL GAS STATION","SHELL GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","31/8/2022 17:06:12","Yes","538436","-83.215642","42.35826"
"161267","9113 Pease","B-JIL AUTO SALES","B-JIL AUTO SALES","500"," Mercantile, Business - Other","ANNUAL Repair Garage","31/8/2022 16:02:43","Yes","1765","-83.035541","42.396389"
"161603","13014 Gratiot","Dank Godz","L. A. Plaza","341"," Clinic, Clinic-type Infirmary","ANNUAL Mercantile Occupancy","31/8/2022 15:04:44","Yes",,,
"158534","17721 Schoolcraft","Mobil Gas (Dabaja Mobil Service Station & ( Auto& Truck repair garage))","MOBILE GAS STATION & DABAJA AUTO & TRUCK REPAIR GARAGE","571"," Service Station, Gas Station","ANNUAL Gas Station","31/8/2022 11:15:27","Yes","347609","-83.216765","42.386324"
"160480","15000 East Eight Mile","Alaskan Express","8 Mile fuel LLc","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","31/8/2022 10:41:50","Yes","255172","-82.967271","42.44952"
"148024","800 East Seven Mile","I-75 PETROLEUM INC. BP GAS STATION","I-75 PETROLEUM INC. BP GAS","571"," Service Station, Gas Station","ANNUAL Gas Station","31/8/2022 10:36:36","Yes","202706","-83.095766","42.43211"
"140439","5130 14th","AC TOWING",,"579"," Motor Vehicle or Boat Sales, Services, Repair","ANNUAL Industrial Occupancy","31/8/2022 08:29:28","Yes","349401","-83.087401","42.351097"
"161061","2126 Merrick","A C TOWING INC","AC TOWING, INC.","600"," Ind., Utility, Defense, Agriculture, Mining - Other","ANNUAL Industrial Occupancy","31/8/2022 08:28:42","Yes",,,
"118073","20524 Van Dyke","Boost Mobile",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","30/8/2022 21:29:28","Yes","269451","-83.024405","42.447876"
"161609","11400 East Eight Mile","JARS",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","30/8/2022 16:41:31","Yes","516078","-83.00756","42.448287"
"159909","15230 Livernois","BP Food Mart","BP GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","30/8/2022 16:00:20","Yes","11019","-83.13967","42.402425"
"161628","24235 West Seven Mile","Barnabas Health Care School of Prof. Studies",,"100"," Assembly - Other","ANNUAL Assembly Occupancy","30/8/2022 16:00:00","Yes","353306","-83.279704","42.428624"
"161558","15018 Livernois","Hurley Animal Hospital","HURLEY DOG AND CAT HOSPITAL","340"," Clinics, Doctors Offices, Hemodialysis Cntr - Other","ANNUAL Business Occupancy","30/8/2022 15:30:32","Yes","12855","-83.139784","42.400725"
"161557","14935 Livernois","J AUTO & TIRE",,"UUU"," Undetermined","ANNUAL Repair Garage","30/8/2022 14:30:24","Yes","351675","-83.140577","42.400114"
"161556","14900 Livernois","Livernois Collision","Livernois Collision","500"," Mercantile, Business - Other","ANNUAL Repair Garage","30/8/2022 13:45:20","Yes","347565","-83.139755","42.4"
"161564","11900 East Eight Mile","3 M DETROIT ABRASIVES","3M Company","700"," Manufacturing, Processing","ANNUAL 302 Site","30/8/2022 13:06:25","Yes","535217","-83.002285","42.448194"
"161384","777 Woodward","One Kennedy Square","One Kennedy Square","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","30/8/2022 12:36:52","Yes","2745","-83.047419","42.331241"
"161554","18670 Livernois","China Wok","China Wok","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","30/8/2022 12:00:38","Yes","352606","-83.140793","42.428631"
"161687","5625 Charles","LEROY'S KITCHEN",,"161"," Restaurant or Cafeteria","ANNUAL Mercantile Occupancy","30/8/2022 12:00:08","Yes","276584","-83.045967","42.411957"
"161674","615 Griswold","Berkley's Exclusive Hair","FORD BUILDING INC","500"," Mercantile, Business - Other","ANNUAL High Rise","30/8/2022 10:48:33","Yes","288880","-83.04715","42.329936"
"161552","10005 Curtis","The Art of Fading Barbershop","The Art of Fading Barbershop[","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","30/8/2022 10:30:48","Yes","15038","-83.161014","42.423976"
"161546","11499 Conner","College of Creative Studies","Coleman A. Young City Airport","800"," Storage - Other","ANNUAL Business Occupancy","30/8/2022 08:36:26","Yes","536910","-83.003882","42.409089"
"160877","3735 East Vernor","Marathon Gas EAST VERNOR INC","Marathon Gas","571"," Service Station, Gas Station","ANNUAL Gas Station","29/8/2022 23:12:17","Yes","316427","-83.017994","42.355114"
"161536","19529 West Davison","AN'BEYON CDL TRUCK DRIVING SCHOOL, INC.",,"599"," Business Office","ANNUAL Business Occupancy","29/8/2022 22:06:32","Yes","352874","-83.233899","42.383767"
"161506","17101 East Warren","Holy Moly Donut Shop",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","29/8/2022 20:56:15","Yes",,,
"161504","17241 East Warren","FAMILY DOLLAR #30339","FAMILY DOLLAR #10339","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","29/8/2022 20:39:01","Yes","323307","-82.927456","42.407251"
"161503","17455 East Warren","Dollar General #21597",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","29/8/2022 20:34:31","Yes","352328","-82.925568","42.407932"
"161569","8710 West Vernor","La Tropicana Market","La Tropicana Market","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","29/8/2022 20:15:37","Yes","49784","-83.132953","42.309296"
"161502","17500 East Warren","Frank's Oil Shop & Auto Repair","Frank's Oil Shop & Auto Repair","579"," Motor Vehicle or Boat Sales, Services, Repair","ANNUAL Repair Garage","29/8/2022 20:06:45","Yes","352332","-82.924608","42.407663"
"161568","1553 Woodward","DAVID WHITNEY BUILDING","David Whitney Building mas","100"," Assembly - Other","ANNUAL High Rise","29/8/2022 20:06:36","Yes",,,
"161496","8047 Agnes","Metropolitan Bar & Kitchen","CRAFT WORK RESTAURANT & BAR","100"," Assembly - Other","ANNUAL Business Occupancy","29/8/2022 17:30:23","Yes","350060","-82.996635","42.355545"
"161501","17627 Warren  East","Motor City Burgz",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","29/8/2022 16:48:13","Yes","333593","-82.923116","42.408757"
"161500","17600 East Warren","O'REILLY AUTO PARTS #3344","OREILLY AUTO PARTSTORE","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","29/8/2022 16:42:52","Yes","324389","-82.922559","42.408384"
"161499","14300 Prairie","The Wood Yard/Mulch Guys",,"600"," Ind., Utility, Defense, Agriculture, Mining - Other","ANNUAL Industrial Occupancy","29/8/2022 16:24:28","Yes","437752","-83.14598","42.392985"
"161494","8031 Gratiot","Gratiot Petro Mart LLC. / Sunoco","SUNOCO GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","29/8/2022 16:00:55","Yes","79609","-83.014557","42.379609"
"161593","14075 Riverview","INFINITY PARK APARTMENTS LLC","Infinity Park Apartments LLC","400"," Residential - Other","ANNUAL Residential","29/8/2022 15:43:23","Yes","537609","-83.273421","42.387329"
"149146","20491 Van Dyke","Amy's Hair Braiding","Taif's African Hair Braiding","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","29/8/2022 12:10:46","Yes","353096","-83.024895","42.447048"
"154493","18280 Livernois","Livernois Fresh Fish","Livernois Fresh Fish","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","29/8/2022 11:15:00","Yes","236380","-83.14084","42.425632"
"161493","6571 Linwood","LINWOOD GAS & FOOD MART INC/VALERO GAS","Valero Gas Station","571"," Service Station, Gas Station","ANNUAL Gas Station","29/8/2022 10:30:52","Yes","71388","-83.100086","42.359848"
