"number","amount","description","status","supplier","city","state","start_date","end_date","contract_link"
"6004096","0","** APPROVED BY CC on 7/20/21 **     2021 - 2022 HS Detroit Rescue Mission Ministries - Oasis Emergency Shelter contract. To provide shelter services to those experiencing homelessness. T.O.C. 1/1/22 - 12/31/22. HRD# 5079","Open","DETROIT RESCUE MISSION MINISTRIES","Detroit","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004096.pdf"
"6004148","172663.23","** APPROVED BY CC on 7/20/21 **      2021-2022 HS ESG & CDBG Covenant House Michigan contract. To provide shelter services to those experiencing homelessness. T.O.C. 1/1/22 - 12/31/22.HRD #5076","Open","COVENANT HOUSE OF MICHIGAN","DETROIT","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004148.pdf"
"6004137","31282.58","** APPROVED BY CC on 7/20/21 **    2021 - 2022 HS The Heat and Warmth Fund (THAW) contract. To provide case management & financial assistance to households at risk of homelessness. T.O.C. 1/1/22 - 12/31/22. HRD# 5092","Open","THAW-THE HEAT AND WARMTH FUND","DETROIT","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004137.pdf"
"6004083","76663.23","** APPROVED BY CC on 7/20/21 **   2021 - 2022 HS ESG & CDBG Michigan Veterans Foundation contract. To provide shelter services to those experiencing homelessness. T.O.C. 1/1/22 - 12/31/22. HRD #5084","Open","MICHIGAN VETERANS FOUNDATION","Detroit","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004083.pdf"
"6004111","320406.23","** APPROVED BY CC on 7/20/21 **  FY21-22 Wayne County Neighborhood Legal Services; RRH: To provide case management and financial assistance to households experiencing homelessness and/or living in shelter T.O.C. 1/1/22 - 12/31/22. HRD #5100","Open","NEIGHBORHOOD LEGAL SERVICES MICHIGAN","Detroit","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004111.pdf"
"6003180","200000","Grant Fund - Development & Implementation of online software for the filing, review, & retention of homeowner prop. tax exemption applications submitted .MCL211.7.u","Open","COURT INNOVATIONS INC","Tampa","FL","1/1/2022 00:00:00","31/12/2024 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6003/Agreement_6003180.pdf"
"6004086","101663.23","** APPROVED BY CC on 7/20/21 ** FY 21-22 HS Street Outreach - Neighborhood Service Organization (Detroit Healthy Housing) contract. To provide outreach & engagement services to those experiencing homelessness. TOC 1/1/22-12/31/22. HRD# 5106","Open","NEIGHBORHOOD SERVICE ORGANIZATION","DETROIT","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004086.pdf"
"6004087","185413.23","** APPROVED BY CC on 7/20/21**  FY20-22 HS Neighborhood Service Organization - NSO Emergency Shelter (Detroit Healthy Housing Center) contract. To provide shelter services to those experiencing homelessness. T.O.C. 1/1/22-12/31/22 HRD# 5081","Open","NEIGHBORHOOD SERVICE ORGANIZATION","DETROIT","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004087.pdf"
"6004170","90142.5","Proposal N Trash Out Release Group B9-SA","Open","P & P Group Inc.","Detroit","MI","1/1/2022 00:00:00","30/6/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004170.pdf"
"6004094","25922.42","** APPROVED BY CC on 7/20/21 **    FY21-22 Operation Get Down. To provide shelter services to those experiencing homelessness. T.O.C. 1/1/22 - 12/31/22","Open","OPERATION GET DOWN","DETROIT","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004094.pdf"
"6004072","110863.23","**APPROVED BY CC 7.20.21 **  2021 - 2022 HS RRH Southwest Counseling Solutions contract. To provide case management & financial assistance to households experiencing homelessness and/or living in shelter. T.O.C. 1/1/22 - 12/31/22. HRD# 5098","Open","SOUTHWEST COUNSELING SOLUTIONS","DETROIT","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004072.pdf"
"6004117","106663.23","** APPROVED BY CC on 7/20/21**   FY 2021-2022 HS Cass Community Social Services Family Emergency Shelter contract. To provide shelter services to those experiencing homelessness. T.O.C. 1/1/22 - 12/31/22. HRD# 5073.","Open","CASS COMMUNITY SOCIAL SERVICES INC","DETROIT","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004117.pdf"
"6004110","104663.23","** APPROVED BY CC on 7/20/21 **    FY21-22 Central United Methodist Church (NOAH) provides outreach and engagement services to those experiencing homelessness and living on the streets. T.O.C. 1/1/22 - 12/31/22 HRD #5104","Open","CENTRAL UMC of DETROIT CDC",,,"1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004110.pdf"
"6004078","221663.23","** APPROVED BY CC on 7/20/21 **  FY21-22 Wayne Metro Community Action Agency will provide case management and financial assistance to households at risk of homelessness. T.O.C. 1/1/22 - 12/31/22. HRD #5093","Open","WAYNE METROPOLITAN COMMUNITY ACTION AGENCY","Wyandotte","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004078.pdf"
"6004077","101663.23","** APPROVED BY CC 7/20/2021 **    FY21-22 Wayne Metro Community Action Agency will provide case management and financial assistance to households at risk of homelessness. T.O.C. 1/1/22 - 12/31/22. HRD #5093","Open","WAYNE METROPOLITAN COMMUNITY ACTION AGENCY","Wyandotte","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004077.pdf"
"6004013","101663.23","** Approved by CC on 7/20/21**   2021-22 HS RRH Community and Home Supports contract. To provide case management & financial assistance to households experiencing homelessness and/or living in a shelter. T.O.C. 1/1/22-12/31/22. HRD# 5097","Open","COMMUNITY & HOME SUPPORTS","Detroit","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004013.pdf"
"6004012","151663.23","**APPROVED BY CC 7.20.2021**   HPS ESG & CDBG Street Outreach - Community & Home Supports contract. To provide outreach & engagement services to those experiencing homelessness & living on the streets. T.O.C. 1/1/22 - 12/31/22.HRD #5105.","Open","COMMUNITY & HOME SUPPORTS","Detroit","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004012.pdf"
"6004103","100000","DWSD ONLY - CPA for parts and repair services for DWSD owned Heavy-Duty Trucks for a two (2) year period NTE $100,000.","Open","Bill Jones Enterprises, Inc, dba, METRO AIRPORT TRUCK","TAYLOR","MI","30/12/2021 00:00:00","29/12/2023 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004103.pdf"
"3054530","270.504","DWSD only 32057 - SCRAPER, PIPE:  10-1/2""L X 1-3/4""W DOUBLE END CONSTRUCTED FROM 1/4 X 1-1/4"" HIGH CARBON STEEL STOCK W/TEMPERED OIL FINISH.  FOR THE REMOVAL OF RUST OR PAINT FROM WOOD OR METAL SURFACES, LEETONIA TOOL CO. PART #392","Open","MOTOR CITY PIPE & SUPPLY CO","DETROIT","MI","29/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054530.pdf"
"3054528","2240","DWSD only 24848 - TIRE, LIGHT TRUCK: 245/75R16 ALL SEASONAL TIRE NEW / NO RETHREADED  LOAD RANGE - E 8 PLY GOOD YEAR WRANGLER SR-A OR EQUIVALENT, PSI 80","Open","JEFFERSON CHEVROLET CO",,,"29/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054528.pdf"
"3054526","4842","DWSD only 28602 - CAP, FIRE HYDRANT: PLASTIC CARROLL DRAIN, 1/2"", FOR DFD FIRE HYDRANT, IN ACCORDANCE WITH DRAWING #A-140-03; EJ #DFD35, PART # 945349","Open","EJ USA INC","PITTSBURGH","PA","29/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054526.pdf"
"3054531","653.4216","DWSD only 30064 - PIPE, VITRIFIED:  CLAY 12"" X 2 FT IN ACCORDANCE WITH DWSD SPECIFICATION #WCW-6.","Open","MOTOR CITY PIPE & SUPPLY CO","DETROIT","MI","29/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054531.pdf"
"3054527","84307","DWSD only 516612 - ASSEMBLY, BONNET: HYDRANT DFD 5BR250/CD250 BREAKABLE FLANGE TYPE COMPLETE WITH NUTS AND BOLTS IN ACCORDANCE WITH DWSD SPECIFICATION #S-679; EAST JORDAN IRON WORKS #945595","Open","EJ USA INC","PITTSBURGH","PA","29/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054527.pdf"
"3054529","521.28","DWSD only 517267 - FILTER, AIR: 2010-2011 FORD TRANSIT; 2.0 LITER ENGINE; MOTORCRAFT FA-1900 / 9T1Z-9601-A; NO SUBSTITUTIONS","Open","DEALER AUTO PARTS SALES INC","REDFORD","MI","29/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054529.pdf"
"3054525","10093.32","SPO issued to pay invoices for fire training materials.","Closed for Invoicing","MICHIGAN STATE FIREMENS ASSN","SWARTZ CREEK","MI","27/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054525.pdf"
"3054523","288750","100% COVID-19 Emergency request for PCR test for the Health Dept. Will apply for reimbursement. ","Open","TEMPUS LABS INC","Chicago","IL","27/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054523.pdf"
"3054524","17600","100% COVID-19 Emergency request for Tents for the Health Depart. will apply for reimbursement.","Closed for Invoicing","BIG TOP PARTY RENTAL","WARREN","MI","27/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054524.pdf"
"3054522","17600","COVID-19 -TO PURCHASE TENTS, TABLES & CHAIRS FOR COVID VACCINATION POP UP LOCATIONS WILL APPLY FOR REIMBURSEMENT FROM COVID-19 FUNDING SOURCE","Closed for Invoicing","BIG TOP PARTY RENTAL","WARREN","MI","24/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054522.pdf"
"3054521","1998.75","payment per quote dated 12/10/21","Open","PAPER ROLL PRODUCTS","St Paul","MN","23/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054521.pdf"
"3054517","38500","Emergency Demolition (Commercial) 11852 W Grand River","Open","Inner City Contracting, LLC","Detroit","MI","23/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054517.pdf"
"3054506","759","TO PROVIDE 30,000 COVID TESTING KICKER CARDS FOR COVID TESTING SITE AT WILLIAMS RECREATION CENTER; PER QUOTE WILL APPLY FOR REIMBURSEMENT FROM COVID FUNDING SOURCE.","Closed for Invoicing","ACCUFORM PRINTING & GRAPHICS INC","DETROIT","MI","23/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054506.pdf"
"3054490","986.25","Fire - Motorola chargers","Open","MOTOROLA SOLUTIONS INC","SCHAUMBURG","IL","22/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054490.pdf"
"3054464","8136","DWSD Only - PO against BPA 6003896 for CEMENT, PORTLAND: AIR ENTRAINED TYPE 1-A IN 94 LB BAG/40 BAGS PER PALLET IN ACCORDANCE WITH A.S.T.M. SPECS. C-175.","Closed","DETROIT READY MIX CONCRETE INC","DETROIT","MI","21/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054464.pdf"
"3054465","30","payment per work order 73938","Open","DETROIT WAYNE JOINT BLDG AUTHORITY","DETROIT","MI","21/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054465.pdf"
"3054458","887","TO PROVIDE GATE REPAIR SERVICES AT THE EASTERN MARKET FOR THE CITY OF DETROIT, MUNICIPAL PARKING DEPARTMENT (REQ 494016)","Closed","SECURE DOOR LLC","MT CLEMENS","MI","21/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054458.pdf"
"3054466","90","payment per quote 73592","Open","DETROIT WAYNE JOINT BLDG AUTHORITY","DETROIT","MI","21/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054466.pdf"
"3054469","1200","payment per work number 162320","Closed for Invoicing","ACCUFORM PRINTING & GRAPHICS INC","DETROIT","MI","21/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054469.pdf"
"3054467","300","payment per account 993588","Open","ABSOPURE WATER COMPANY","PLYMOUTH","MI","21/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054467.pdf"
"3054470","886","payment per invoice 162320","Closed for Invoicing","ACCUFORM PRINTING & GRAPHICS INC","DETROIT","MI","21/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054470.pdf"
"6004141","86900","100% City Funded-GHIBP to provided residential rehab for property at 15801 Maddelein","Open","Nora Contracting LLC","Detroit","MI","21/12/2021 00:00:00","20/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004141.pdf"
"6004044","767433.28","DWSD Only-2 year BPA 6004044 for gate box parts ","Open","T & N SERVICES INC","DETROIT","MI","20/12/2021 00:00:00","19/12/2023 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004044.pdf"
"3054431","3692.4","Dwsd only 29605 - PIPE, PVC: SCH 40 10"" X 20'","Open","CORE & MAIN LP","ST LOUIS","MO","20/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054431.pdf"
"3054429","3268.3","TO REPLACE FINALLY CLOSED PO 3043640 AGAINST CONTRACT 6001635 (HVAC SERVICES) PER AGENCY CFO. ORIGINAL P WAS CLOSED DUE TO NEW ACCOUNTING STRING APPROPRIATIONS BEGINNING IN FY22. (REQ 492441)","Open","SYSTEMP CORPORATION","ROCHESTER HILLS","MI","20/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054429.pdf"
"3054430","285","Dwsd only601743 - RING - HYDRANT, O-RG Q4-444 UL 1/4,7 3/4 F/STP EJ#00946440","Open","EJ USA INC","PITTSBURGH","PA","20/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054430.pdf"
"3054432","49000","FY22 RFP#22EW181887 Emergency Residential Demolition of 7311 Navy GF Blight Funding FY22			Which expire on 12/30/2022","Open","DMC CONSULTANTS INC","DETROIT","MI","20/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054432.pdf"
"3054417","2801.54","PO for DETROIT FIRE DEPT MALTESE BADGE, WB200A – GLD-PLT PIN and BADGE S168-RHODIUM-PIN in accordance with agreement 6002752. 							","Open","NYE UNIFORM CO","Walker","MI","20/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054417.pdf"
"3054418","548.55","Repair broken pipe in the Airport terminal basement.","Open","BENKARI MECHANICAL LLC","Detroit","MI","20/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054418.pdf"
"3054440","16627.02","FY22 EMERGENCY PURCHASE for DPD Major Crimes and Cyber Crimes 2 month Cellebrite Premium Licensing inclusive of the Unlimited Premium Package B-AIS-02-070 12/1/2021-1/31/2022 Quote#31904075 Utilizing Gov't Services Adv, (GSA) GS-35F-0119Y","Open","CARAHSOFT TECHNOLOGY CORP","Reston","VA","20/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054440.pdf"
"3054443","650","Fire Marshal -Payment only- Past due invoice from 2019, for a NFPA II course taken at Schoolcraft College","Open","SCHOOLCRAFT COLLEGE","LIVONIA","MI","20/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054443.pdf"
"3054390","129.9","payment per quote 702","Open","RODZINA INDUSTRIES INC (DBA DETROIT MARKING PRODUCTS)","FLINT","MI","18/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054390.pdf"
"3054389","3396","TO REPLACE FINALLY CLOSED PO 3044948 AGAINST CONTRACT 6000788 (ELEVATOR MAINTENANCE SERVICES) PER AGENCY CFO. ORIGINAL PO WAS CLOSED DUE TO NEW ACCOUNTING STRING APPROPRIATION BEGINNING FY22. (REQ 492390)","Open","OTIS ELEVATOR CO","CHICAGO","IL","18/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054389.pdf"
"3054386","28795","TO REPLACE FINALLY CLOSED PO 3037246 AGAINST CONTRACT 6001956 (BAY FLOOR CLEANING) PER AGENCY CFO.  ORIGINAL PO WAS CLOSED DUE TO NEW ACCOUNTING STRING APPROPRIATIONS BEGINNING IN FY22. (REQ 492393, 492394, 492395, 492396, 492397 & 492399)","Open","T & N SERVICES INC","DETROIT","MI","18/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054386.pdf"
"3054391","11780","TO REPLACE FINALLY CLOSED PO 3014719 AGAINST CONTRACT 6000788 (ELEVATOR MAINTENANCE SERVICES) PER AGENCY CFO. ORIGINAL PO WAS CLOSED DUE TO NEW ACCOUNTING STRING APPROPRIATION BEGINNING IN FY22. (REQ 492389)","Open","OTIS ELEVATOR CO","CHICAGO","IL","18/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054391.pdf"
"3054332","26300","Emergency Demolition (Residential) 5908 Belvidere","Open","BLUE STAR INC","WARREN","MI","17/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054332.pdf"
"3054346","43800","FY-22 DPW Street Maintenance Snow Request for 146,000 Gallons of Liquid: Calcium Chloride loaded into City trucks at vendor site and used for snow and ice removal. BPA 6003899 CC APPROVAL 11/16/2021","Open","SUBURBAN CALCIUM CHLORIDE SALES INC","Taylor","MI","17/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054346.pdf"
"3054341","44863","TO Provide pick up and document imaging of COVID-19 patient forms in accordance with CPA ","Open","ACCUFORM PRINTING & GRAPHICS INC","DETROIT","MI","17/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054341.pdf"
"3054342","1969"," FENCE REPAIR AIRFIELD SECURITY CONNER STREET FOR THE AIRPORT","Closed for Invoicing","CASEY FENCE CO INC","DETROIT","MI","17/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054342.pdf"
"3054339","17700","Emergency Demolition (Residential) 14696 Seymour","Open","BLUE STAR INC","WARREN","MI","17/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054339.pdf"
"3054361","128243.28","FURNISH VAN RENTALS, HEALTH DEPT.","Open","ENTERPRISE FM TRUST","KANSAS CITY","MO","17/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054361.pdf"
"3054360","0",,"Finally Closed","MSC INDUSTRIAL SUPPLY CO","LIVONIA","MI","17/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054360.pdf"
"3054350","22619.68","This request is to replace finally closed PO # 3046146 against Contract # 6001487 (PM & Repairs of Air Compressors)  per Agency CFO. Original PO was closed due to new accounting string appropriations beginning in FY22. (Req 492405)","Open","CALDWELL GROUP COMPANIES, LLC","Southfield","MI","17/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054350.pdf"
"3054331","39550","DWSD Only - PO against BPA 6003895 for PATCH MATERIAL for West Yard Only deliveries  ","Open","AJAX PAVING INDUSTRIES INC","DETROIT","MI","17/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054331.pdf"
"3054330","7100","PO for Emergency Electrical and Lighting Repairs in the Ford Underground Parking Structure.","Closed","POWER LIGHTING & TECHNICAL SERVICES","DETROIT","MI","17/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054330.pdf"
"3054324","510","TO MAKE 17 KEYS FOR ROOM 801/809 FOR THE CITY OF DETROIT OCFO/OCP (CONTACT ERICKA CRAWFORD) (REQ 493933)","Open","DETROIT WAYNE JOINT BLDG AUTHORITY","DETROIT","MI","16/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054324.pdf"
"3054302","1995","PO for payment of FY 22 ACCUFORM REQUEST # 20-3088 FOR DPD STATIONARY STOCK - DPD-590A, CIVILIAN TIME CARDS - Finished: 8.5 x 11 - Trim, Drill, Shrink-wrap, Carton pack - 20,000 PCS","Open","ACCUFORM PRINTING & GRAPHICS INC","DETROIT","MI","16/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054302.pdf"
"3054322","6896","CJ - 4 BULK 15W40CC APPROVAL 6/25/2019","Open","Lyden Oil Company","Walbridge","Ohio","16/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054322.pdf"
"3054323","124.8","Supplies for veterinary clinic anesthesia machine.","Open","Boggs Specialties llc","Owosso","MI","16/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054323.pdf"
"3054301","1995","PO for payment of FY22 ACCUFORM ORDER # 22-3085 FOR DPD STATIONARY STOCK - DPD-349, CIVILIAN ATTENDANCE CARD - 20,000 PCS","Open","ACCUFORM PRINTING & GRAPHICS INC","DETROIT","MI","16/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054301.pdf"
"3054309","6400","BNP:  To provide repairs to damages done as a result of vandalism at property located at 16653  San Juan.","Open","LAKE STAR CONSTRUCTION SERVICES, INC","Detroit","MI","16/12/2021 00:00:00",,"https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/3054/PO_3054309.pdf"
