"record_id","issued_date","expire_date","days_til_expiration","address","address_id","parcel_id","geom"
"PMB2005-14383","4/11/2019","4/11/2022","46","5001 E OUTER DRIVE","269278","17016320.004","0101000020E6100000BACA9B5D0FC154C07B77772355384540"
"PMB2004-15567","5/11/2019","5/11/2022","47","5045 E. OUTER DRIVE","266519","17016321.002","0101000020E610000070E74710F8C054C017B2C7117A384540"
"PMB2005-14393","5/11/2019","5/11/2022","47","5031 E. OUTER DRIVE",,,
"PMB2005-14392","5/11/2019","5/11/2022","47","5051 E OUTER DRIVE","541337","17016320.005","0101000020E61000004C2E088BF6C054C0090A3CDE51384540"
"PMB2005-14384","5/11/2019","5/11/2022","47","5021 E. OUTER DRIVE",,,
"PMB2005-14389","5/11/2019","5/11/2022","47","5061 E. OUTER DRIVE",,,
"PMB2008-04151","5/11/2019","5/11/2022","47","5306 CHATSWORTH","321574","21068960.","0101000020E6100000E3E65987A3BC54C04DBEF2DDA3334540"
"PMB2005-14395","5/11/2019","5/11/2022","47","5011 E OUTER DRIVE.",,,
"PMB2004-03498","7/11/2019","7/11/2022","49","9575 NORTHLAWN","206056","18014725-45","0101000020E61000009FCCD4E1CDC954C014703025092F4540"
"PMB2004-03505","7/11/2019","7/11/2022","49","9656 NORTHLAWN","207335","18014678-96","0101000020E6100000EF4849A8C2C954C0F481A70B272F4540"
"PMB2003-00956","7/11/2019","7/11/2022","49","903 W GRAND BLVD","220049","14008837.","0101000020E61000008FFD39AB3DC654C083E9F31E9D2A4540"
"PMB2004-03497","7/11/2019","7/11/2022","49","9545 NORTHLAWN","205784","18014725-45","0101000020E610000093EBB639CCC954C0B0F11492FE2E4540"
"PMB2004-05264","18/11/2019","18/11/2022","60","12063 WHITCOMB","206196","22048132.","0101000020E610000099909E1887CC54C0B705557717304540"
"PMB2019-01110","22/11/2019","22/11/2022","64","2512 WEST BOSTON","41034","10002809.","0101000020E6100000F93B70C019C754C0453CF94A70304540"
"PMB2004-10019","27/11/2019","27/11/2022","69","437 W FOREST","261504","02000924.","0101000020E6100000E9C6409E39C454C0AAA80673392D4540"
"PMB2004-14419","2/12/2019","2/12/2022","74","484 BRAINARD","228866","02000775.","0101000020E61000004E3120CA0CC454C041CDB871602C4540"
"PMB2004-02639","8/12/2018","8/12/2022","80","11252 LAKEPOINTE","317345","21064832.","0101000020E61000003CB46214D1BC54C0AA63F0CEF2354540"
"PMB2009-05242","9/12/2019","9/12/2022","81","14000 WOODROW WILSON","41997","06006245-8","0101000020E6100000A7E3CB8F40C754C02FF9109A5B334540"
"PMB2016-01494","23/9/2019","10/12/2022","82","10100 W OUTER DRIVE","123499","22125690.","0101000020E6100000BF3B3FABE9CE54C00EAB398C36334540"
"PMB2004-10797","30/1/2020","10/12/2022","82","4727 THIRD",,,
"PMB2018-00915","3/7/2019","10/12/2022","82","12026 ASHTON","177200","22074925.","0101000020E6100000D93830CAF0CD54C0D280A2BDFC2F4540"
"PMB2018-04911","8/5/2019","10/12/2022","82","17134 SUNDERLAND RD","100503","22084730.","0101000020E61000007D090B7C91CE54C07A88EDA63D354540"
"PMB2004-10801","15/11/2020","10/12/2022","82","900 W FOREST","259017","04000979-81","0101000020E6100000C4B8F21892C454C093EDED79142D4540"
"PMB2004-04929","10/12/2019","10/12/2022","82","22440 PLYMOUTH","172104","22005572-4","0101000020E6100000E07B2066C0D054C04D70E37E992F4540"
"PMB2004-10802","30/1/2020","10/12/2022","82","930 FOREST",,,
"PMB2018-05662","3/8/2021","11/12/2022","83","9584 E OUTER DRIVE","251793","21080978.","0101000020E610000081400E7306BE54C089E45B250F354540"
"PMB2013-02024","30/5/2019","11/12/2022","83","13061 FILBERT","226452","21012773.","0101000020E610000021D01EDDE0BE54C099B2E8B9AF354540"
"PMB2018-05215","23/3/2019","11/12/2022","83","15850 FORRER","145298","22054008.","0101000020E6100000B891AB5EE5CC54C0B2885F192E344540"
"PMB2013-02032","30/5/2019","11/12/2022","83","13111 LORETTO","238162","21012394.","0101000020E61000007EDE0B18CEBE54C0E935604C9F354540"
"PMB2004-02817","11/12/2018","11/12/2022","83","8052 WHITTAKER","34957","20004163.","0101000020E6100000E764FBC12EC854C014920ACFBE274540"
"PMB2013-02040","29/5/2019","11/12/2022","83","13144 AUGUST","238225","21012790.","0101000020E6100000E22ABA7AE3BE54C0B7A5C990BB354540"
"PMB2004-20917","10/6/2019","11/12/2022","83","4438 51ST","163476","18011748.","0101000020E610000087264AD58FC854C04A5DFC452D2A4540"
"PMB2018-06326","10/6/2019","11/12/2022","83","4667 52ND","164252","18011828-9","0101000020E61000008442829BB4C854C05210B938482A4540"
"PMB2007-01714","22/12/2018","11/12/2022","83","18668 GREENFIELD","62649","22050232.","0101000020E6100000E0179BF0C2CC54C083C1A9C8C3364540"
"PMB2013-02056","21/5/2020","11/12/2022","83","13934 HOUSTON-WHITTIER","238412","21014430.","0101000020E61000001BE60BC2CFBE54C0AA8D668BCB354540"
"PMB2013-02012","30/5/2019","11/12/2022","83","13039 FILBERT","238228","21012770.","0101000020E610000095F68570E7BE54C0F82F302EAB354540"
"PMB2018-06724","11/9/2019","12/12/2022","84","18259 ROSEMONT","118247","22076881.","0101000020E61000006CEA2AEA2FCE54C05EA585003A364540"
"PMB2018-02476","12/12/2018","12/12/2022","84","21433 CAMBRIDGE","98658","22017474.005","0101000020E6100000E941B77A44D054C0A11F6B7D0D374540"
"PMB2013-02051","22/5/2020","12/12/2022","84","13398 LORETTO","238124","21012234.","0101000020E6100000A8B66CDC9EBE54C0AEAAE17CB2354540"
"PMB2018-07138","9/4/2019","12/12/2022","84","18935 Beland","224048","17015475.","0101000020E610000089D4818F9FC054C0902802266D374540"
"PMB2004-05381","6/8/2019","12/12/2022","84","14941 PROMENADE","226281","21009167.","0101000020E6100000E7AC58CFD3BD54C09BC5713AFB344540"
"PMB2018-05883","13/12/2018","13/12/2022","85","16161 MARK TWAIN","140506","22037224.","0101000020E6100000559A216BFBCB54C021CDC2D67D344540"
"PMB2013-02044","30/5/2019","13/12/2022","85","13350 LORETTO","238115","21012240.","0101000020E61000002818B5E4ABBE54C001503C38A9354540"
"PMB2013-02049","21/5/2020","13/12/2022","85","13393 JANE","238053","21011883.","0101000020E6100000AA02919E9CBE54C0D81E29F1A0354540"
"PMB2009-05703","30/5/2019","13/12/2022","85","13390 LORETTO","238118","21012235.","0101000020E6100000F244DCF5A0BE54C02E9A41F6B0354540"
"PMB2018-06075","24/1/2020","13/12/2022","85","6150 UNIVERSITY PL","308913","21077398.","0101000020E61000009AF4C92F65BB54C0A4BDC3BC79354540"
"PMB2013-02047","30/5/2019","13/12/2022","85","13384 LORETTO","238117","21012236.","0101000020E6100000E5D08D2AA3BE54C0FE788A6EAF354540"
"PMB2018-06324","13/12/2019","13/12/2022","85","17131 QUINCY","238036","02003956.","0101000020E61000007273C3FFE6C854C0022D8C4979354540"
"PMB2013-02054","22/5/2020","13/12/2022","85","13424 LORETTO","238126","21012231.","0101000020E6100000925A656C98BE54C0F22FD5A9B6354540"
"PMB2018-05886","13/12/2018","13/12/2022","85","18911 LINDSAY","78695","22067165.","0101000020E610000083521075B2CD54C069754F6EDC364540"
"PMB2019-00146","13/12/2018","13/12/2022","85","11659 SOMERSET","311959","21067330.","0101000020E6100000DBCF65892BBC54C0F535C406DB364540"
"PMB2018-02318","19/3/2020","14/12/2022","86","20490 MENDOTA","18486","16043161.","0101000020E6100000C95A63BEA9CA54C0E6CB098AE5384540"
"PMB2004-17149","26/7/2019","14/12/2022","86","7084 ARMY","29701","18000669.","0101000020E6100000EE7E449958C754C03CB939583E274540"
"PMB2005-18911","14/12/2018","14/12/2022","86","19286 LAHSER","97584","22113450.","0101000020E61000009D2EE10483D054C00C7ECB3F48374540"
"PMB2018-05820","27/8/2019","14/12/2022","86","17597 EDINBOROUGH","111072","22091125.","0101000020E61000000190718100CF54C08DB76FB1DF354540"
"PMB2013-01971","3/6/2019","14/12/2022","86","5290 UNIVERSITY PL","305673","21077351.","0101000020E6100000E65DEEFA23BB54C01EE26322B5344540"
"PMB2018-04859","15/12/2018","15/12/2022","87","12677 WEST PARKWAY","111923","22119503.","0101000020E61000003A37890A0DD154C0E1283240A6304540"
"PMB2014-02174","12/12/2018","15/12/2022","87","1342 MARLBOROUGH","325436","21059215.","0101000020E6100000563EB1D888BC54C0D07701625D304540"
"PMB2018-07224","18/4/2019","17/12/2022","89","13611 Van Buren","191224","22031173-90","0101000020E6100000134DC0EF5FCB54C0CA443E2B9F2D4540"
"PMB2018-06702","18/4/2019","17/12/2022","89","8359 SCHAEFER","187837","22031185.","0101000020E61000005731CF155FCB54C0FF347FB78C2D4540"
"PMB2019-00155","17/12/2018","17/12/2022","89","16605 EASTBURN","115805","21025905.","0101000020E610000003678007B3BC54C0A76AB83414394540"
"PMB2018-06974","22/10/2019","17/12/2022","89","19975 LESURE","22115","22032989.","0101000020E6100000D82E56EFBECB54C0C09B74A83B384540"
"PMB2018-06701","18/4/2019","17/12/2022","89","8519 SCHAEFER","191227","22031179.","0101000020E6100000134DC0EF5FCB54C0CA443E2B9F2D4540"
"PMB2018-07223","18/4/2019","17/12/2022","89","8365 Schaefer","187839","22031183.","0101000020E61000005731CF155FCB54C0FF347FB78C2D4540"
"PMB2018-03392","6/5/2019","18/12/2022","90","15365 PROMENADE","302016","21009193.","0101000020E6100000F2804AF993BD54C06B66E747D6344540"
"PMB2019-00319","18/12/2018","18/12/2022","90","17754 Lenore","108695","22123398.","0101000020E61000001120A680FBD154C0AB8F7DE9F1354540"
"PMB2012-04395","18/12/2018","18/12/2022","90","14545 ARTESIAN","125572","22085172.","0101000020E6100000925EF86A93CE54C07C5446E97C324540"
"PMB2009-04055","18/12/2018","18/12/2022","90","17579 GREENVIEW","117692","22080273.","0101000020E6100000E4AC0DA369CE54C097311169CC354540"
"PMB2009-02183","12/4/2019","18/12/2022","90","17137 ONTARIO","332486","21002077.","0101000020E610000036A0A4A85FBB54C0866BE8FEC2334540"
"PMB2004-11261","18/12/2019","18/12/2022","90","4219 CHRYSLER BLDG 9","262699","03003237.","0101000020E61000007FED7AC452C354C0919AF045722D4540"
"PMB2004-13989","18/12/2019","18/12/2022","90","4201 CHRYSLER","262622","03003237.","0101000020E61000004C01C3964EC354C06344AD3C6C2D4540"
"PMB2019-00163","5/9/2019","18/12/2022","90","20082 WINTHROP","69144","22052076.","0101000020E6100000B80B0526E4CC54C0F913E9A066384540"
"PMB2004-11343","18/12/2019","18/12/2022","90","12219 SCHAEFER","543031","22030939-49","0101000020E61000005800ADF56BCB54C08770877E4F304540"
"PMB2018-07211","8/8/2019","18/12/2022","90","4917 Trenton","162650","20010556.","0101000020E6100000C830A2A366C954C0A0BE552D1B2A4540"
"PMB2004-10954","3/2/2020","18/12/2022","90","5191 W. CHICAGO","71109","14003533.","0101000020E6100000AA7B6F7E71C854C0E8672367FF2E4540"
"PMB2018-01090","23/9/2019","19/12/2022","91","16591 HEYDEN","127968","22099623.","0101000020E6100000CC4314555DCF54C060768B05A5344540"
"PMB2018-04720","20/12/2019","19/12/2022","91","5937 HAVERHILL","324212","21070184.","0101000020E6100000388F1918A8BC54C0F6A8EA5F44344540"
"PMB2018-01924","19/12/2018","19/12/2022","91","11430 ROXBURY","311240","21058890.","0101000020E6100000ECA5B86D99BC54C0EDF021194A364540"
"PMB2004-12288","3/6/2019","19/12/2022","91","13125 MANOR","214581","16045847.","0101000020E6100000FE52E0C4BCCA54C0A034B1AC22314540"
"PMB2018-04595","26/4/2019","19/12/2022","91","17414 SALEM","108330","22124305.","0101000020E610000044FB29743ED254C03E0643E68B354540"
"PMB2017-04933","19/12/2018","19/12/2022","91","3993 BERKSHIRE","320126","21069393.","0101000020E61000001D4ED67E2FBC54C02FF600EE5E324540"
"PMB2018-02342","17/4/2019","19/12/2022","91","20715 MOROSS","308592","21079086.","0101000020E61000001267DAE47ABB54C040BCC68A6F364540"
"PMB2018-03224","20/12/2018","20/12/2022","92","291 PHILIP","338166","21060833.","0101000020E6100000A669B346E4BB54C09D31A3638A2E4540"
"PMB2016-02666","20/12/2018","20/12/2022","92","11669 CHATHAM","172214","22117264.","0101000020E61000002CB8BD28CCD054C01EFB842BB42F4540"
"PMB2009-02113","20/12/2018","20/12/2022","92","19962 FAUST","100744","22078864.","0101000020E610000060AE531C5CCE54C09727C8A123384540"
"PMB2004-00453","20/12/2018","20/12/2022","92","525 W LAFAYETTE","291252","04000118.004","0101000020E61000008409945560C354C0ADD62443242A4540"
"PMB2018-02635","20/12/2018","20/12/2022","92","607 ALGONQUIN","338289","21047205.","0101000020E6100000C66793D102BD54C0BD2CDA76A02E4540"
"PMB2004-08471","17/6/2019","20/12/2022","92","2344 OAKDALE","49661","20008028.","0101000020E6100000A8DA4C4A9FC854C0C936F9CC94274540"
"PMB2018-05680","21/11/2018","21/12/2022","93","20201 GLASTONBURY","96003","22082295.","0101000020E610000033FC28E952CE54C006A13A2E6D384540"
"PMB2018-04374","21/12/2018","21/12/2022","93","16855 W RIVERDALE DR","131092","22120933.","0101000020E61000007EBB7F6477D154C033C89984C6344540"
"PMB2004-19476","3/4/2020","21/12/2022","93","5221 ST LAWRENCE","166895","20009158.","0101000020E6100000B134540B4CC954C0794047CDAB2A4540"
"PMB2018-01449","21/12/2018","21/12/2022","93","3521 SPRINGLE","326357","21047792.","0101000020E6100000F92F0832ADBD54C019BB795403314540"
"PMB2004-06851","21/12/2018","21/12/2022","93","612 ALTER ROAD","332087","21062670.","0101000020E610000011122F4DECBB54C09FA04325702F4540"
"PMB2014-02375","21/12/2018","21/12/2022","93","250 E HARBORTOWN 211","240336","CONDO BUILDING","0101000020E61000001F569689A6C054C0D39794CFB82B4540"
"PMB2006-02531","21/12/2018","21/12/2022","93","1208 DREXEL","323827","21050454.","0101000020E6100000D3A33DB7EBBC54C004C80911D22F4540"
"PMB2015-01385","10/7/2019","21/12/2022","93","19997 CHEYENNE","23101","22025996.","0101000020E61000001B4A6E9B4FCB54C009CD03994B384540"
"PMB2006-02993","27/6/2019","21/12/2022","93","4735 MARYLAND","311459","21064419.","0101000020E6100000B7EA7102E2BC54C0941E1710A9324540"
"PMB2006-06714","25/3/2019","22/12/2022","94","5730 KENSINGTON","324751","21072838.","0101000020E610000073D442E210BC54C076DF640171344540"
"PMB2004-00991","3/4/2020","22/12/2022","94","5715 ST LAWRENCE","185162","20009146.","0101000020E610000066673B0F5BC954C021309E3CD72A4540"
"PMB2013-02052","23/11/2021","28/12/2022","100","13407 LORETTO","238131","21012413.","0101000020E61000006E6D8DA9A0BE54C0FE8ADC21BF354540"
"PMB2016-02893","5/6/2019","28/12/2022","100","4791 STURTEVANT","74897","14004705.","0101000020E6100000F14CD627C4C854C0E71A5002B0304540"
"PMB2012-04492","12/6/2019","28/12/2022","100","9350 CLOVERLAWN","201183","18014429.","0101000020E61000003D65E063A5C954C0D1DE24ACA72E4540"
"PMB2005-10319","23/5/2019","30/12/2022","102","13542 RIVERVIEW","114532","22121798.","0101000020E6100000E62BD8B87BD154C050A5A2532A314540"
"PMB2011-02676","23/5/2019","31/12/2022","103","20223 GLASTONBURY","96105","22082293.","0101000020E610000014FF1AF252CE54C004FCA61674384540"
"PMB2006-03089","2/1/2019","2/1/2023","105","209 PHILIP","337387","21060856.","0101000020E6100000FAC224B2CEBB54C0013FA9094A2E4540"
"PMB2018-03927","2/1/2019","2/1/2023","105","12710 WEST PARKWAY","112831","22119166.","0101000020E610000008D0A6A803D154C0C353EE49B0304540"
"PMB2005-18880","2/1/2019","2/1/2023","105","8208 GRANDVILLE","172379","22088150.","0101000020E61000009FBD071BAECE54C0BEB230F11C2D4540"
"PMB2018-03131","2/1/2019","2/1/2023","105","2221 NEWPORT","325419","21054179.","0101000020E61000009ACC1032E4BC54C0F11CAA9A8D304540"
"PMB2006-01724","7/2/2020","2/1/2023","105","9303 RICHTER","299979","19006792.","0101000020E610000040690C25CDBF54C00DC8DFA930304540"
"PMB2005-19023","2/1/2019","2/1/2023","105","9253 CAMLEY","317166","21068705.","0101000020E6100000DAEC7F1CC7BB54C0751E8E81D5354540"
"PMB2005-09907","2/1/2019","2/1/2023","105","5768 KENSINGTON","333444","21072843.","0101000020E6100000C9C5CE5D15BC54C01FEDEC9980344540"
"PMB2018-00204","3/1/2019","3/1/2023","106","4822 ST CLAIR","301532","21038682.","0101000020E610000079345EF77ABF54C0A297E15B16314540"
"PMB2009-01464","3/1/2019","3/1/2023","106","11086 WAYBURN","295541","21063603.","0101000020E6100000D905C7691ABD54C0D6AE7C41A7354540"
"PMB2006-03923","14/7/2020","3/1/2023","106","20500 JOANN","161857","21030714.","0101000020E61000002D27840B5FBF54C0FABB75594D394540"
"PMB2019-00240","18/4/2019","3/1/2023","106","16204 WOODINGHAM","101656","16028348.","0101000020E61000004E79B40493C954C0DFC67C19A8344540"
"PMB2017-00200","5/8/2020","3/1/2023","106","7676 DOLPHIN","166582","22114643.","0101000020E6100000865CD49E69D054C0A8445F52812C4540"
"PMB2004-20644","23/4/2019","3/1/2023","106","10527 MCKINNEY","319625","21068224.","0101000020E61000004E7BAFCE6CBC54C00BCB3985B2354540"
"PMB2005-17888","10/2/2020","4/1/2023","107","19301 LESURE","22190","22033029.","0101000020E6100000840A26FAB8CB54C03850FAD068374540"
"PMB2018-02158","4/1/2019","4/1/2023","107","11666 LANSDOWNE","296828","21058406.002","0101000020E610000091938F2804BD54C08C5AFAFC22364540"
"PMB2010-03711","4/1/2019","4/1/2023","107","12747 DUCHESS","304241","21057832.","0101000020E61000009A94DFFDD8BC54C02FC0AFBE60374540"
"PMB2005-10129","4/1/2019","4/1/2023","107","18735 STAHELIN","117470","22083460.","0101000020E61000007CDB160294CE54C08B4B0F30E0364540"
"PMB2004-10787","12/3/2019","4/1/2023","107","12201 MORANG","309134","21076840-6","0101000020E6100000592B062D08BD54C08138FA0CB1364540"
"PMB2005-13609","21/1/2020","4/1/2023","107","19175 BILTMORE","82654","22064332.","0101000020E610000004523FA892CD54C025D61A8C35374540"
"PMB2005-11401","4/1/2019","4/1/2023","107","1120 MARLBOROUGH","323955","21059180.","0101000020E6100000E2C8352B6BBC54C0C79035D503304540"
"PMB2005-01382","4/2/2019","4/1/2023","107","19412 STOUT","102638","22101448.","0101000020E610000091C7F03C8ECF54C0EC182FAD77374540"
"PMB2005-11428","21/1/2020","4/1/2023","107","19720 ARDMORE","21348","22034857.","0101000020E61000008FD866A8D9CB54C0C5199692E4374540"
"PMB2005-17818","28/1/2020","4/1/2023","107","16169 COYLE","140478","22045412.","0101000020E6100000FFA4009E71CC54C0D2BF1AC679344540"
"PMB2018-06265","4/1/2019","4/1/2023","107","19983 WISCONSIN","34689","16034994.","0101000020E61000004C640AF820CA54C0236B42F34B384540"
"PMB2006-07439","4/1/2019","4/1/2023","107","4201 EASTLAWN","304822","21053252.","0101000020E61000009F5271045BBD54C044EFA3F8B9314540"
"PMB2018-03481","22/3/2019","4/1/2023","107","12030 DUCHESS","309079","21057777.","0101000020E61000004DF918DE2CBD54C0A2E2D02467364540"
"PMB2017-03167","7/1/2019","7/1/2023","110","10854 LAKEPOINTE","317269","21064794.","0101000020E6100000AD11A18DFDBC54C0C3B69C3A7E354540"
"PMB2017-00873","7/1/2019","7/1/2023","110","18661 STOEPEL","6408","16019385.","0101000020E6100000E12D4F5D22C954C0D0A07254E6364540"
"PMB2017-04911","7/1/2019","7/1/2023","110","10410 LAKEPOINTE","301732","21064758.","0101000020E610000075869BDD3ABD54C083588290F6344540"
"PMB2018-03812","19/8/2019","7/1/2023","110","20231 HUNTINGTON","95988","22089728.","0101000020E6100000C619381505CF54C060338B626F384540"
"PMB2005-17029","5/11/2019","7/1/2023","110","18691 TRACEY","220372","22031724.","0101000020E6100000364BC8A1A3CB54C0090A0609E2364540"
"PMB2018-07428","4/2/2020","7/1/2023","110","13058 Hampshire","231025","21005506.","0101000020E6100000C22E478443BE54C065ACE49BAC334540"
"PMB2004-14737","8/1/2019","8/1/2023","111","15325 VAUGHAN","128555","22098299.","0101000020E61000009307646248CF54C08F72773C5C334540"
"PMB2005-00687","8/1/2019","8/1/2023","111","5091 BEDFORD","320995","21070955.","0101000020E61000008462A7A149BC54C0186F7C229B334540"
"PMB2010-00437","8/1/2019","8/1/2023","111","10269 BALFOUR","292746","21068026.","0101000020E61000003AF4B0D4AEBC54C07FD2EA7E44354540"
"PMB2016-03942","8/1/2019","8/1/2023","111","20210 GLASTONBURY","96062","22082247.","0101000020E6100000524DE96B49CE54C0BAA83DCB70384540"
"PMB2005-10449","8/1/2019","8/1/2023","111","4890 GUILFORD","323119","21075654-72","0101000020E6100000BB72092A4BBB54C03FF3DA1F0E344540"
"PMB2018-07146","28/4/2021","8/1/2023","111","11959 Roxbury","311301","21058921.","0101000020E6100000E712EAC55DBC54C0F5BDE73504374540"
"PMB2016-02278","8/1/2019","8/1/2023","111","15318 KENTFIELD","128416","22100182.","0101000020E6100000323FD51361CF54C03F4F85C157334540"
"PMB2018-03794","8/1/2019","8/1/2023","111","22421 CHIPPEWA","107173","22018478.001","0101000020E6100000A2FCFC33DFD054C091DE416D20384540"
"PMB2018-02808","8/1/2019","8/1/2023","111","2217 GRAY","253355","21048773-4","0101000020E610000055674B2F55BD54C0B699B19237304540"
"PMB2018-05554","8/1/2019","8/1/2023","111","5975 RADNOR","308874","21078374.","0101000020E61000007FD19C501FBB54C05448F04877354540"
"PMB2018-03775","8/1/2019","8/1/2023","111","2189 GRAY","253350","21048777-8","0101000020E610000031E9287D51BD54C030A5503E2C304540"
"PMB2018-01927","8/1/2019","8/1/2023","111","20149 SANTA ROSA","15285","16020408.","0101000020E6100000628D72993BC954C0869E9A3D96384540"
"PMB2010-02074","28/4/2021","8/1/2023","111","509 TENNESSEE","337464","21045911-2","0101000020E61000004745755C21BD54C0E271BED7572E4540"
"PMB2014-01258","8/1/2019","8/1/2023","111","6354 UNIVERSITY PL","308896","21077413.","0101000020E6100000B1F8712E77BB54C0A886552BB0354540"
"PMB2014-01666","8/1/2019","8/1/2023","111","15492 TROESTER","93832","21016560.","0101000020E61000007130D2F480BD54C0E0178EBC8F364540"
"PMB2016-01205","5/6/2019","8/1/2023","111","14221 LONGVIEW","247203","21007788.","0101000020E610000027E5AFA325BE54C05A7F828B8D344540"
"PMB2005-11635","30/6/2019","8/1/2023","111","5640 UNDERWOOD","208050","16004128.","0101000020E61000004CD45C32BFC854C0068CD468362E4540"
"PMB2004-13472","8/1/2019","8/1/2023","111","9591 ABINGTON","203137","22066515.","0101000020E610000083B325A87ECD54C0A2242B10EA2E4540"
"PMB2018-05011","8/1/2019","8/1/2023","111","20074 CHAPEL","95069","22111463.","0101000020E6100000C9522B6D4DD054C029D019C937384540"
"PMB2004-13456","18/7/2019","8/1/2023","111","911 ALTER RD","335333","21063247.","0101000020E61000003441051B1ABC54C07ED9EADFDA2F4540"
"PMB2018-01297","9/2/2019","9/1/2023","112","22625 FULLERTON","111539","22006619.","0101000020E6100000360D4196EED054C0A3ACC32A8A304540"
"PMB2016-02855","11/4/2019","9/1/2023","112","15480 AUBURN","127174","22092547.","0101000020E6100000C3127C5906CF54C08DE410A69E334540"
"PMB2018-06772","3/7/2019","9/1/2023","112","15900 LAUDER","141065","22041976.","0101000020E6100000CE8640C240CC54C02290A0474E344540"
"PMB2018-03686","9/1/2019","9/1/2023","112","4915 MAPLEWOOD","205242","14002421.","0101000020E6100000A5E0F4ADDFC754C0B2F60424282E4540"
"PMB2017-03326","14/5/2021","9/1/2023","112","5790 COURVILLE","324480","21071521.","0101000020E610000018F108F656BC54C07C79A0CA5C344540"
"PMB2018-06476","9/1/2019","9/1/2023","112","16858 FIELDING","119463","22102664.","0101000020E61000009A9EF9A18CCF54C07A211AB701354540"
"PMB2010-03074","9/1/2019","9/1/2023","112","15880 MANNING","134604","21023060.","0101000020E610000070616D343BBD54C054D8E5376B384540"
"PMB2017-03754","9/1/2019","9/1/2023","112","8120 CENTRAL","195462","16024834.","0101000020E6100000C82B2AF655C954C0D322D46C4A2D4540"
"PMB2016-00115","9/1/2019","9/1/2023","112","12824 PAYTON","307530","21057490.008","0101000020E6100000D12F818B04BD54C047DC434848374540"
"PMB2009-00214","9/1/2019","9/1/2023","112","9438 CAMLEY","314191","21068667.024","0101000020E61000000B323B62ABBB54C041EAEFF8FF354540"
"PMB2004-11197","9/1/2020","9/1/2023","112","3201 GLYNN CT","38829","12002984.","0101000020E6100000810D1A208BC754C0262021E433304540"
"PMB2016-01396","23/7/2019","9/1/2023","112","12574 CORBETT","231531","21006840.","0101000020E61000004A95BBDBB3BE54C0353D7C07D5334540"
"PMB2018-01452","9/1/2019","9/1/2023","112","1388 PHILIP","325619","21060082.","0101000020E6100000989AB7C47EBC54C026D404D77B304540"
"PMB2018-03581","17/4/2019","9/1/2023","112","15050 EVERGREEN","121942","22095616.","0101000020E6100000D9194D192CCF54C055FEEA4210334540"
