"business_name","business_street_address","business_city","business_state","business_zip_code","detroit_based_business","detroit_headquartered_business","detroit_small_business","detroit_start_up","detroit_resident_based_business","detroit_based_micro_business","woman_owned_business_enterprise","minority_owned_business_enterprise","industry_type","business_category_1","business_category_2","nigp_code","authorized_contact_first_name","authorized_contact_last_name","business_phone_number","business_website","certifications","lon","lat"
"Motor City Electric Technologies, Inc.","9440 Grinnell","Detroit","MI","48213","true","true","false","false","false","false","false","false","Electrical, Specialty Construction",,,,"Courteney",,"313-921-5300","www.mceco.com","Detroit Based Business; Detroit Headquartered Business",,
"Motor City Electric Utilities Co.","9440 Grinnell","Detroit","MI","48213","true","true","false","false","false","false","false","false","Electrical, Specialty Construction",,,,"Courteney",,"313-921-5300",,"Detroit Based Business; Detroit Headquartered Business",,
"Motown Tile and Marble, LLC","11343 Schaefer Rd,, Suite B","Detroit","MI","48227","false","false","false","true","false","false","true","false","Specialty Construction",,,"91483.0","Sania",,"313-777-8600","www.motowntilemarble.com","Detroit Start Up; Woman Owned Business Enterprise",,
"Neyer, Tiseo and Hindo, Ltd. dba NTH Consultants, Ltd.","2990 W. Grand Blvd., Suite M-10","Detroit","MI","48202","true","false","false","false","false","false","false","false","Consulting, Engineering, Professional Service",,,,"Jason",,"313-237-3900","www.nthconsultants.com","Detroit Based Business",,
"NORR, LLC","150 W Jefferson Ave., Suite 1300","Detroit","MI","48226","true","false","false","false","false","false","false","false","Architectural, Consulting, Engineering, Professional Service",,,"906-00-00; 906-07-00; 906-07-05; 906-10-00; 906-66-00; 925-00-00; 925-07-00; 925-31-29; 925-31-30; 925-33-00; 925-37-00; 925-67-00; 925-88-00","Anthony",,"(313) 324-3100","norr.com","Detroit Based Business",,
"Northern Lakes Seafood & Meats, LLC","12301 Conant St","Detroit","MI","48212","true","false","false","false","false","false","false","false","Wholesale",,,,"Blake",,"313-368-2500","https://www.northernlakesfoods.com","Detroit Based Business",,
"One Stop Property Maintenance, LLC","1220 Longfellow","Detroit","MI","48202","true","false","true","false","true","false","false","true","Commercial Cleaning, Grounds Maintenance, Landscaping, Other","Power washing, Weed control, Covid-19 Disinfecting",,"988, 910, 928, 968, 962, 934, 912","Kenji",,"313-957-0070","www.ospmain.com","Detroit Based Business; Detroit Resident Based Business; Detroit Small Business; Minority Owned Business Enterprise",,
"Orchard, Hiltz & McCliment, Inc. dba OHM Advisors","1145 Griswold Street, Suite 200","Detroit","MI","48226","true","false","false","false","false","false","false","false","Architectural, Engineering, Professional Service",,,"N/A","Mark",,"(313) 481-1250","https://www.ohm-advisors.com","Detroit Based Business",,
"Osborn Neighborhood Alliance","13560 E. McNichols","Detroit","Michigan","48205","false","false","false","false","false","false","false","true","Remodeling/Renovation, Technology, Other","Youth , business training.    Osborn Neighborhood Alliance is a non profit",,,"Quincy",,"13133845019.0","www.LiveinOsborn1.org","Minority Owned Business Enterprise",,
"P & P Group Inc","7700 Second Ave. Suite 300","Detroit","MI","48202","true","true","false","false","true","true","false","true","Abatement, Asbestos Removal, Asphalt & Concrete, Builders, Carpentry, Demolition, Drywall, Electrical, Fencing, Flooring, Furnace Repair, General Construction, General Contractor, Grounds Maintenance, Janitorial, Landscaping, Paint Services, Plumbing, Roofing",,,,"Esha",,"313-766-6729",,"Detroit Based Business; Detroit Based Micro Business; Detroit Headquartered Business; Detroit Resident Based Business; Minority Owned Business Enterprise",,
"Qualified Abatement Services, Inc.","1735 E. McNichols Road","Detroit","MI","48203","true","true","true","false","false","false","false","false","Asbestos Removal",,,,"Forrest",,"3137334144.0","N/A","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business",,
"Quinn Evans","4219 Woodward Avenue Suite 301","Detroit","MI","48201","true","false","false","false","false","false","false","false","Architectural",,,,"Rita",,"313.887.9560","Quinn Evans Architects Inc","Detroit Based Business",,
"RBV Contracting, Inc.","990 Oakman Boulevard","Detroit","Michigan","48238","true","true","true","false","false","false","false","true","Builders, Demolition, General Construction, General Contractor, Landscaping, Specialty Construction",,,"236210  236220  237110  237310  237990","James",,"313 974-6725","https://rbvcontracting.com/","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise",,
"Rickman Enterprise Group, LLC","15533 Woodrow Wilson","Detroit","Michigan","48238","true","true","false","false","false","false","false","true","Abatement, Asphalt & Concrete, Carpentry, Drywall, Facilities Management, Flooring, General Construction, General Contractor, Janitorial, Paint Services, Remodeling/Renovation, Roofing",,,"360 36022 36076 36085 365","Kenn",,"313-454-4000","www.rickmanenterprise.com","Detroit Based Business; Detroit Headquartered Business; Minority Owned Business Enterprise",,
"Roncelli, Inc.","500 Griswold, Suite 2440","Detroit","MI","48226","true","false","false","false","false","false","false","false","General Contractor",,,"909,912,913,914,155,910,918","Michael",,"313-964-5689","www.roncelli-inc.com","Detroit Based Business",,
"Rossetti, Inc.","160 W Fort Street Suite 400","Detroit","MI","48226","true","true","false","false","false","false","false","false","Architectural",,,"9060790652.0","Jeanette",,"313-463-5151","rossetti.com","Detroit Based Business; Detroit Headquartered Business",,
"Rush Commercial Cleaning Services","7714 Grand River","Detroit","Michigan","48188","false","false","false","false","false","false","true","true","Commercial Cleaning, Janitorial, Window, Other","COVID Certified Cleaning",,,"Telina",,"313 244-2108","Pending","Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Santoro Inc.","15232 Harper","Detroit","MI","48224","true","true","true","false","false","false","false","false","Auto Repair",,,"025, 055, 060, 065, 070, 405, 557, 720, 820, 928","David",,"313-526-1300",,"Detroit Based Business; Detroit Headquartered Business; Detroit Small Business",,
"ScriptGuideRX","660 Woodward Ave, Suite 450 - East","Detroit","MI","48226","false","false","false","false","false","false","false","true","Consulting, Other","Pharmacy Benefit Management Services, 340B Administration Program Management Services, Prescription Drug Savings Program",,,"Ime",,"313-821-3200","www.sgrxhealth.com","Minority Owned Business Enterprise",,
"Somat Engineering, Inc.","3031 West Grand Blvd Ste 228","Detroit","MI","48202","true","true","false","false","false","false","false","true","Consulting, Engineering, Professional Service",,,"925926989918.0","Kim",,"313-963-2721","Somat Engineering, Inc.","Detroit Based Business; Detroit Headquartered Business; Minority Owned Business Enterprise",,
"Stevenson Construction Co., LLC","8850 WOODWARD AVE","DETROIT","MICHIGAN","48202","true","true","true","false","false","false","false","true","Demolition, General Construction",,,"912913914890.0","LAWRENCE",,"248-346-8786","www.stevensonconstructionllc.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise",,
"Stonefield Engineering and Design","607 Shelby Street, Suite 200","Detroit","Michigan","48226","true","false","false","false","false","false","false","false","Professional Service",,,,"Erin",,"2482471115.0","www.stonefieldeng.com/","Detroit Based Business",,
"Streamline Electric INC","3939 Bellevue St STE 100","Detroit","Michigan","48207","true","true","true","false","false","false","false","true","Electrical, General Construction, Specialty Construction",,,,"Tunisia",,"3138084159.0","www.prostreamline.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise",,
"The Harmon Group, LLC dba/Mercury P&F","2921 E. Jefferson, Suite 201","Detroit","MI","48207","true","true","true","false","false","false","true","true","Marketing/Advertising, Textiles/Clothing",,,"None","Tina",,"3134146332.0","www.theharmongroup.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"The Mannik & Smith Group, Inc.","607 Shelby Street, Suite 300 (previously 65 Cadillac Square, Suite 3311)","Detroit","Michigan","48226","true","false","false","false","false","false","false","false","Engineering, Professional Service",,,,"Rachel",,"419-891-2222","www.manniksmithgroup.com","Detroit Based Business",,
"The Right Productions, Inc.","2600 Atwater","Detroit","MI","48207","true","false","false","false","false","false","true","true","Facilities Management, Professional Service",,,"N/A","Shahida",,"3133930292.0","www.thearetha.com","Detroit Based Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Universal Contracting Services","5671 Trumbull Ste 3","Detroit","Michigan","48208","true","true","false","false","false","false","false","true","Commercial Cleaning, Electrical, Facilities Management, General Contractor, Janitorial",,,,"Kevin",,"313-483-7649",,"Detroit Based Business; Detroit Headquartered Business; Minority Owned Business Enterprise",,
"VanDyke Horn Public Relations","3011 W Grand Blvd, Ste 2225","Detroit","MI","48202","true","true","true","false","false","false","true","true","Professional Service",,,"91500.0","Marilyn",,"3136224496.0","VanDyke Horn Public Relations","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Vitec LLC","2801 CLARK","DETROIT","MI","48210","true","true","true","false","true","false","false","true","Service (non-professional)",,,,"MARKITA",,"313-849-3222",,"Detroit Based Business; Detroit Headquartered Business; Detroit Resident Based Business; Detroit Small Business; Minority Owned Business Enterprise",,
"Vlora Construction LLC","20021 Fleming St","Detroit","Michigan","48234","false","false","false","true","false","false","true","true","Demolition, General Construction, General Contractor, Specialty Construction",,,,"FLORENCA",,"248-413-7937","https://vlora-construction.com/","Detroit Start Up; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"VolumeOne Design Studio LLC","1100 Parker Street","Detroit","Michigan","48214","true","false","true","false","true","false","true","false","Architectural",,,"90700.0","Christina",,"3132641130.0","www.v1-studio.com","Detroit Based Business; Detroit Resident Based Business; Detroit Small Business; Woman Owned Business Enterprise",,
"W.T. Stevens Construction, Inc.","2727 Second Ave.; Suite 105A","Detroit","Michigan","48201","true","false","false","false","false","false","true","true","Demolition, General Construction, Plumbing, Specialty Construction, Trucking",,,,"Rhonda",,"8103979949.0","www.wtstevens.com","Detroit Based Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Walker-Miller Energy Services","8045 2nd Ave.","Detroit","MI","48202","true","true","false","false","false","false","true","true","Professional Service",,,"9101691841.0","Vertrice",,"3133668535.0","www.wmenergy.com","Detroit Based Business; Detroit Headquartered Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Washington/Great Lakes JV,LLC","7116  Tireman","Detroit","Michigan","48204","true","true","false","false","false","false","false","true","Heating & HVAC, Plumbing",,,,"Isaac",,"3138344400.0",,"Detroit Based Business; Detroit Headquartered Business; Minority Owned Business Enterprise",,
"Williams Acosta, PLLC","535 Griswold, Suite 1000","Detroit","MI","48226","true","false","true","false","false","false","false","true","Legal",,,"9614996150.0","Teresa",,"313 963-3873","Williamsacosta.com","Detroit Based Business; Detroit Small Business; Minority Owned Business Enterprise",,
"Williams Electrical & Telecommunications Co.","9527 Traverse St","Detroit","MI","48213","true","true","false","false","false","false","false","true","Electrical",,,,"Courteney",,"313.921.1812","www.williamsetco.com","Detroit Based Business; Detroit Headquartered Business; Minority Owned Business Enterprise",,
"WSP Michigan Inc.","500 Griswold, Guardian Bldg., Suite 2600","Detroit","Michigan","48226","true","false","false","false","false","false","false","false","Engineering",,,"925-17-00","Scott",,"313-963-5760","www.wsp.com/usa","Detroit Based Business",,
"Giffels Webster Engineers","28 W. Adams Street, Suite 1200, Detroit, MI 48226","Detroit","MI","48226","true","true","false","false","false","false","false","false","Consulting, Engineering, Professional Service, Real Estate",,,"918925968.0","Scott",,"13139624442.0","www.giffelswebster.com","Detroit Based Business; Detroit Headquartered Business",,
"Gayanga Company","1120 W Baltimore","Detroit","MI","48202","true","true","false","true","true","false","false","true","Abatement, Asbestos Removal",,,,"Brian",,"3137277907.0",,"Detroit Based Business; Detroit Headquartered Business; Detroit Resident Based Business; Detroit Start Up; Minority Owned Business Enterprise",,
"MacDermott Roofing, Inc.","9301 Southfield Fwy","Detroit","Michigan","48228","true","false","true","false","false","false","false","false","Roofing",,,,"David",,"734-422-1990","www.macdermottroofing.com","Detroit Based Business; Detroit Small Business",,
"Bayview Electric Company, LLC","3011 WEST GRAND BLVD STE #425","DETROIT","MICHIGAN","48202","true","false","false","false","false","false","false","false","Electrical",,,"914389123291356.0","VICKI",,"313-255-5252","www.bayelectric.com","Detroit Based Business",,
"WCI Contractors, Inc.","20210 Conner St.","Detroit","Michigan","48234","true","false","true","false","false","false","false","false","General Construction, General Contractor, Landscaping, Recreation, Specialty Construction",,,"909, *10, 912, 913, 790, 650, 988, 958","Karen R",,"313-368-2100",,"Detroit Based Business; Detroit Small Business",,
"KEO & Associates, Inc.","18286 Wyoming Street","Detroit","MICHIGAN","48221","true","true","true","false","false","false","false","true","General Construction, Specialty Construction",,,"90924, 90921, 90922, 90924, 91200","Chris",,"3133401688.0","www.keoassoc.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise",,
"Detroit Diamond Drilling, Inc.","7021 W. 8 Mile Rd","Detroit","Michigan","48221","true","true","false","false","false","false","false","false","Demolition, Retail",,,,"Jaime",,"3138643600.0","www.detroitdiamonddrilling.com","Detroit Based Business; Detroit Headquartered Business",,
"Blue Cross Blue Shield of Michigan","600 E. Lafayette Blvd., MC 517H","Detroit","MI","48226","true","true","false","false","false","false","false","false","Insurance",,,,"Veronique",,"313-225-9000","bcbsm.com","Detroit Based Business; Detroit Headquartered Business",,
"SC Environmental Services, LLC","1234 Washington Blvd, 5th Floor","Detroit","MI","48226","true","true","true","false","true","false","false","false","Abatement, Demolition",,,,"Nick",,"313-613-4799","N/A","Detroit Based Business; Detroit Headquartered Business; Detroit Resident Based Business; Detroit Small Business",,
"Enterprise Uniform Company","2862 E. Grand Blvd.","Detroit","Michigan","48202","true","true","true","false","false","false","true","true","Retail, Uniform Supply",,,"448190.0","Lynne",,"313.871.4667","www.enterpriseuniform.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Eagle Security Services","500 Griswold #400","Detroit","Michigan","48226","true","true","false","false","false","false","false","false","Guard/Security Services",,,"9904604.0","MIchele",,"313-393-3191","www.eagle-securityservices.com","Detroit Based Business; Detroit Headquartered Business",,
"Nora Contracting LLC","3633 Michigan Ave Suite 260","Detroit","Mi","48216","true","true","true","false","false","false","false","true","General Contractor",,,"9096200,9138400,9092200,, 9092300, 9096100","Audie",,"313-263-0040","www.noracontracting.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise",,
