"record_id","street_num","street_dir","street_name","street_type","description","status","date_status","parcel_id","geom"
"BLD2015-05932","11435","","SCHAEFER","","","CofO Issued","8/5/2019 00:00:00","22031002-3","0101000020E61000004093E0436FCB54C0C61A4EA39D2F4540"
"BLD2015-07731","1201","","WOODWARD","","","CofO Issued","18/4/2019 00:00:00","02001886.","0101000020E61000009DC29EAC16C354C0A9DD1ACB9D2A4540"
"BLD2015-08198","3801","","TRENTON","","PERMANENT CERTIFICATE MAILED TO OWNER OF RECORD/SEE ATTACHED DOCUMENT","CofO Issued","22/3/2019 00:00:00","20010657-61","0101000020E6100000694893870AC954C049C56AF417294540"
"BLD2015-08499","13040","","JOS CAMPAU","","Permit extended til 4/25/17 per Deberdino/rs
CHANGE OF OCCUPANCY FROM CLASS C BAR (A-2) TO MINOR MOTOR VEHICLE REPAIR (S-1) AS PER BSEED GRANT #10-12 AS REGISTERED WITH WCRD IN A 1,440 SQ FT ONE STORY MASONRY BUILDING AND LEGALIZING OVERHEAD DOOR AS PER PLANS.","CofO Issued","10/11/2020 00:00:00","09011265-8","0101000020E6100000F3FAC8244AC454C07530F87C99344540"
"BLD2015-08706","17321","W","MCNICHOLS","","CHANGE OF OCCUPANCY FROM BAR TO USED AUTO SALES AND MINOR REPAIR AS INDICATED ON PLANS.","CofO Issued","13/9/2019 00:00:00","22013083-90","0101000020E6100000F2CEA2CFADCD54C0FEFEFBA52A354540"
"BLD2016-00162","1279","W","EIGHT MILE","","(AKA 1395 W EIGHT MILE) TENANT BUILDOUT FOR NEW INDOOR COMMERCIAL HEALTH CLUB (PLANET FITNESS) IN A 19,800 SFT SPACE AS PER PLANS.","CofO Issued","27/5/2021 00:00:00","01008224-5","0101000020E6100000BA3D73CBB0C754C0FF7F152416394540"
"BLD2016-00552","2645","","WOODWARD","","90 DAY TEMPORARY CERTIFICATE OF OCCUPANCY ISSUED (DEVELOPMENT ISSUES)
PERMANENT TO ISSUED ONCE ALL ISSUES ARE SETTLED","CofO Issued","2/4/2019 00:00:00","02000572-638","0101000020E6100000883B770C85C354C002A063E8A62B4540"
"BLD2016-01177","4880","","LAWNDALE","","ESTABLISH A RESTAURANT ON THE FIRST FLOOR IN A VACANT TENANT SPACE OF AN EXISTING (12) STORY BUILDING AS PER PROVIDED EPLAN DRAWINGS.","CofO Issued","18/1/2019 00:00:00","20006242.","0101000020E61000000EEC2A0C69C954C0D0F3795F052A4540"
"BLD2016-01480","10","","PETERBORO","","INTERIOR RENOVATIONS TO EXISTING  OFFFICES INTO A CLINIC RUN THROUGH ON 2ND FLOOR AS PER PLANS.","CofO Issued","14/2/2019 00:00:00","02000712.","0101000020E61000005755A2F0A8C354C0AAF40735372C4540"
"BLD2016-01793","81","","PETERBORO","","","CofO Issued","29/3/2019 00:00:00","02001944.","0101000020E6100000CCCCA9BABBC354C0D7A35FC0122C4540"
"BLD2016-02113","9900",,"WHITTIER",,"CHANGE OF OCCCUPANCY FROM RETAIL TO ESTABLISH A CARRYOUT RESTAURANT IN AN EXISTING 1600 SFT BUILDING AS PER BZA # 34-15 RECORDED W/WCRD AND PLANS. SEPERATE PERMITS REQUIRED FOR TRADES. SUBJECT TO FIELD APPROVAL.","CofO Issued","3/5/2022 00:00:00","21072255.","0101000020E6100000435D62C3A2BC54C025923BE01A354540"
"BLD2016-02137","14039","W","GRAND RIVER","","2-26-2019-Permanent Certificate of Occupancy issued
Customer will return Monday, 4/18/16 with correct payment.","CofO Issued","26/2/2019 00:00:00","22006976.001","0101000020E61000001FB6E683A0CB54C0B8A846B93B314540"
"BLD2016-05348","201","E","KIRBY","","","CofO Issued","22/2/2019 00:00:00","01004057.002","0101000020E6100000E500A6761CC454C0C02E96DC3F2E4540"
"BLD2016-06411","474","","PETERBORO","","ESTABLISH A CABARET (SALES OR SERVICE) OF ALCHOLIC BEVERAGES FOR ONSITE CONSUMPTION & ENTERTAINMENT) IN A NEW, 2 STORY 7296 S/F BUILDING AS PER BSEED # 103-16 RECORED W/WCRD ON  AND PLANS.","CofO Issued","16/9/2019 00:00:00",,"0101000020E610000081849392EFC354C0740669B00B2C4540"
"BLD2016-07394","1680","","MICHIGAN","","(A.K.A. 1620 MICHIGAN AVE - LEGAL ADDRESS) CONSTRUCT & ERECT A NEW 27,015 SQ FT PROFESSIONAL OFFICE BUILDING, OUTDOOR RECREATION FACILITY, W/ ACCESSORY BANQUET FACILITY AS PER PROVIDED DOCUMENTS.","CofO Issued","29/4/2021 00:00:00","08000584-6","0101000020E610000002B859BB70C454C02E2BBBA77D2A4540"
"BLD2016-07449","10106","","GRINNELL","","","CofO Issued","13/12/2019 00:00:00","19003408.","0101000020E61000007A460FEA3AC054C0116967D957334540"
"BLD2016-08794","2390","","EWALD CIRCLE","","Permit Finaled In Error (Case Unfrozen)///90 DAY TCO ISSUED 04/09/2018sl","CofO Issued","12/2/2019 00:00:00","14005986-6007","0101000020E61000002E22EC0BC5C854C09A2E71AF45324540"
"BLD2016-08798","2471","","EWALD CIRCLE","","","CofO Issued","29/7/2019 00:00:00","14005949-60","0101000020E6100000E2633711DCC854C034DA109323324540"
"BLD2016-08826","4225","","THIRD","","CHANGE OF OCCUPANCY FROM TRUCK STORAGE TO ESTABLISH AN ART GALLERY/STUDIO AS PER PLANS.","CofO Issued","4/3/2021 00:00:00","04003529.","0101000020E610000021F8F2235FC454C0402589E8B12C4540"
"BLD2016-08892","19401","","JOY ROAD","","PRMT C OF O ISSUED","CofO Issued","22/5/2019 00:00:00","22002448.","0101000020E610000048872F23CCCE54C0D97D4ADFBD2D4540"
"BLD2016-09144","124","","ALFRED","","PERMANENT CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","2/4/2019 00:00:00","01000657-9","0101000020E6100000EA0D13EC5DC354C0B31FD72AF22B4540"
"BLD2016-09678","320","","MACK","","","CofO Issued","23/1/2019 00:00:00","01000872-4","0101000020E61000006F7C916C70C354C0028E74A5A82C4540"
"BLD2016-09703","1702","W","FORT","","","CofO Issued","4/10/2019 00:00:00","08000048.","0101000020E6100000F79036AE2CC454C0665A377865294540"
"BLD2016-09722","7401","W","MCNICHOLS","","","CofO Issued","7/3/2019 00:00:00","16007959.","0101000020E61000005F4571CF4BC954C04834850E5D354540"
"BLD2016-09764","248","","ALFRED","","ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PER CERT OF APPRO # 16-4519 AND PLANS","CofO Issued","29/4/2021 00:00:00","-501","0101000020E61000001880770F4FC354C0329638A2012C4540"
"BLD2017-00001","240",,"ALFRED",,"EXPIRES: MAY 10, 2019ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PER CERT OF APPT 16--4509 AND PLANS. SEE BLD2016-09764 FOR DETAILED PLAN","CofO Issued","3/2/2022 00:00:00","-501","0101000020E61000001880770F4FC354C0329638A2012C4540"
"BLD2017-00004","220","","ALFRED","","EXPIRES:04-15-2019ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PER CERT OF APPT 16--4509 AND PLANS. SEE BLD2016-09764 FOR DETAILED PLANS","CofO Issued","14/3/2019 00:00:00","-501","0101000020E61000001880770F4FC354C0329638A2012C4540"
"BLD2017-00005","216","","ALFRED","","ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PER CERT OF APPT 16--4509 AND PLANS. SEE BLD2016-09764 FOR DETAILED PLANS","CofO Issued","13/3/2019 00:00:00","-501","0101000020E61000001880770F4FC354C0329638A2012C4540"
"BLD2017-00006","212","","ALFRED","","ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PER CERT OF APPT 16--4509 AND PLANS. SEE BLD2016-09764 FOR DETAILED PLANS","CofO Issued","5/5/2021 00:00:00","-501","0101000020E61000001880770F4FC354C0329638A2012C4540"
"BLD2017-00008","244",,"ALFRED",,"30 DAY TEMPORARY CERTIFICATE OF OCCUPANCY ISSUED (EXPIRES: 04-22-2019","CofO Issued","23/2/2022 00:00:00","-501","0101000020E61000001880770F4FC354C0329638A2012C4540"
"BLD2017-00011","228","","ALFRED","","ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PR CERT OF APPT16--4509 AND PLANS. SEE BLD2016-09764 FOR DETAILED PLANS","CofO Issued","6/5/2021 00:00:00","-501","0101000020E61000001880770F4FC354C0329638A2012C4540"
"BLD2017-00013","236","","ALFRED","","ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PER CERT OF APPT 16--4509 AND PLANS. SEE BLD2016-09764 FOR DETAILED PLANS","CofO Issued","6/5/2021 00:00:00","-501","0101000020E61000001880770F4FC354C0329638A2012C4540"
"BLD2017-00142","2652","","JOHN R","","(UNIT 9) ERECT A 2 STORY CARRIAGE HOUSE AS PER CERTIFICATE OF APPROPRIATENESS# 4509 AND PLANS.","CofO Issued","3/1/2019 00:00:00","-504","0101000020E61000004EAD3BD74BC354C068940DB2FA2B4540"
"BLD2017-00150","2638","","JOHN R","","REFER TO BLD2017-00142 FOR PLANS(UNIT 2) ERECT A 3 STORY, CARRIAGE HOUSE PER CERTIFICATE OF APPROPRIATENESS #16-4509 AND PLANS.","CofO Issued","6/4/2021 00:00:00","-504","0101000020E61000004EAD3BD74BC354C068940DB2FA2B4540"
"BLD2017-00151","2654","","JOHN R","","REFER TO BLD2017-00142 FOR PLANS(UNIT 10) ERECT A 3 STORY, CARRIAGE HOUSE PER CERTIFICATE OF APPROPRIATENESS #16-4509 AND PLANS.","CofO Issued","23/4/2021 00:00:00","-504","0101000020E61000004EAD3BD74BC354C068940DB2FA2B4540"
"BLD2017-00155","2636","","JOHN R","","REFER TO BLD2017-00142 FOR PLANS.
(UNIT 1) ERECT A 2 STORY, CARRIAGE HOUSE PER CERTIFICATE OF APPROPRIATENESS #16-4509 AND PLANS.","CofO Issued","9/1/2019 00:00:00","-504","0101000020E61000004EAD3BD74BC354C068940DB2FA2B4540"
"BLD2017-00541","14111","","PURITAN","","","CofO Issued","18/4/2019 00:00:00","22012034-41","0101000020E61000000D1FF9FFC8CB54C06CECFD5F58344540"
"BLD2017-00822","262","","MACK","","CONSTRUCT NEW (3) STORY (9) UNIT RESIDENITAL BUILDING ON VACANT LAND PER HDC 16-4866 AS INDICATED ON PLANS.","CofO Issued","7/8/2019 00:00:00","01000878-0","0101000020E6100000FC32D5987EC354C057ABAEE49D2C4540"
"BLD2017-00831","8401","","WOODMONT 14","","SEE BLD2017-00831
AKA 16809, 16815, 16823 Constance. Erection of one 3 Unit One Story Wood Framed Townhouse 92'-9"" x 35'-6"" as per plans.///60 DAY TCO ISSUED 10/11/2018
PRE-PAID $506.00","CofO Issued","23/2/2019 00:00:00",,
"BLD2017-01384","2665","","Brush","","Erection of a 6 story Mixed Use (40 Residential Units, 1 Retail Space and 1 Restaurant) Building as per plans.
(AKA 310 Alfred)","CofO Issued","23/7/2021 00:00:00","01000647-8","0101000020E6100000168320533BC354C06A50A96F0E2C4540"
"BLD2017-02073","2645","","WOODWARD","","90 DAY TCO ISSUED (DEVELOPMENTAL ISSUES)
PERMANENT CERTIFICATE OF OCCUPANCY TO BE ISSUED ONCE ALL ISSUES ARE COMPLIED/REVISE BLD2016-00553 ISSUED 2/5/16 TO SHOW CHANGES IN SCOPE & COST OF WORK AS PER PLANS/PARTIAL PERMIT TO PERFORM & PROVIDE INT & EXT WORK FOR SPORTS ARENA & RELATED SITE AS PER PLANS.COMBINATION OF LEGAL PARCELS REQD PRIOR TO ISSUANCE OF C.OF O ** OWNER TO PROCEED AT OWN RISK**","CofO Issued","2/4/2019 00:00:00","02000572-638","0101000020E6100000883B770C85C354C002A063E8A62B4540"
"BLD2017-02418","320",,"EDMUND PL",,"BRUSH PARK BUILDING A2. PHASE 1 FOUNDATIONS AND FRAMING OF SUPERSTRUCTURE FOR A MIXED-USE RESIDENITAL (37 UNITS) AND COMMERCIAL BUILDING AS PER PLANS.","CofO Issued","28/3/2022 00:00:00","01000687-8","0101000020E610000092D62A5146C354C0AEB7E8D32F2C4540"
"BLD2017-03223","2911","W","GRAND BLVD","","ERECT A NEW 5 STORY, 360,000 SFT MIXED USE BUILDING WITH 231 RESIDENTIAL AND RETAIL W/ PARKING GARAGE AS PER PLANS.","CofO Issued","26/5/2021 00:00:00","04001514-20","0101000020E61000005CA6F78A21C554C0D3AEDE45222F4540"
"BLD2017-03631","314","","ELIOT","","","CofO Issued","27/3/2019 00:00:00","01000830.","0101000020E61000000AD6437367C354C0C4FD2B568D2C4540"
"BLD2017-03669","2125","","WOODWARD","","PHASE II. INSTALLATION OF EXTERIOR CLADDING (WALLS & WINDOWS), INTERIOR BUILDOUT & BUILDING SYSTEMS IN CONJUNCTION WITH BLD2016-04756 & BLD2016-06995 AS PER PLANS.","CofO Issued","29/3/2019 00:00:00","02001862-3","0101000020E61000008FD4616A5BC354C0C032706F3C2B4540"
"BLD2017-03670","17180","E","WARREN","","CHANGE OF OCCUPANCY FROM RETAIL TO CARRYOUT RESTAURANT AS INDICATED ON PLANS   ( HEALTH DEPT. APPR REQUIRED )","CofO Issued","10/7/2019 00:00:00","21002243.","0101000020E6100000DE0751C366BB54C011BD7EB406344540"
"BLD2017-03770","2645","","WOODWARD","","PERMANENT CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","2/4/2019 00:00:00","02000572-638","0101000020E6100000883B770C85C354C002A063E8A62B4540"
"BLD2017-03771","2645","","WOODWARD","","PERMANENT CERTIFICATE OF OCCUPANCY","CofO Issued","2/4/2019 00:00:00","02000572-638","0101000020E6100000883B770C85C354C002A063E8A62B4540"
"BLD2017-03842","2251","S","FORT","","PERMENANT CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","7/3/2019 00:00:00","20015010.","0101000020E61000002A2E9D2B0ECA54C05600B8EA02234540"
"BLD2017-03904","2501",,"RUSSELL","St","CHANGE OF OCCUPANCY TO ESTABLISH TATTOO PARLOR IN (SUITE #C1) OF EXISTING MIXED USE BUILDING AS INDICATED ON PLANS.","CofO Issued","8/9/2022 00:00:00","05003453-0","0101000020E6100000FFD027AE98C254C06BC343D0482C4540"
"BLD2017-03959","7000","","GEORGIA","","PHASE 2: CONSTRUCT A STAMP & INJECTION MILDING FACTORY W/OFFICE AND WAREHOUSE ANS ACCESSORY PARKING LOT AS PER PLANS AND CODE","CofO Issued","28/10/2019 00:00:00","15008513-78","0101000020E61000006A5DF49BDDC154C01EEA639B82324540"
"BLD2017-04313","22400","W","WARREN","","CHANGE OF OCCUPANCY TO ESTABLISH A MAJOR MOTOR VEHICLE REPAIR FACILITY (COLLISION WITH BUMP AND PAINT) AS PREVIOUSLY APPROVED UNDER BSEED GRANT#101-09 PER PLANS (NOT INCLUDING USED AUTO SALES PER CUSTOMER REQUEST).","CofO Issued","24/8/2020 00:00:00","22000440-6","0101000020E6100000EB29AF8894D054C0B1476DC2C82B4540"
"BLD2017-04376","3106","","BELLEVUE","","","CofO Issued","29/5/2019 00:00:00","15013132.","0101000020E61000002B712AF5FFC054C0DDDFB3CA172E4540"
"BLD2017-04640","261","","ALFRED","","INTERIOR AND EXTERIOR RENOVATIONS TO EXISTING 3 STORY TWO FAMILY DWELLING AS PER PLANS AND CERTIFICATE OF APPROPRIATENESS # 16-4509.","CofO Issued","17/6/2019 00:00:00","01000677.001","0101000020E61000001445E2B34DC354C0DCEB9351132C4540"
"BLD2017-04641","295","","ALFRED","","INTERIOR AND EXTERIOR RENOVATIONS TO EXISTING 3 STORY TWO FAMILY DWELLING AS PER PLANS AND CERTIFICATE OF APPROPRIATENESS #16-4509 AND PLANS.","CofO Issued","12/4/2021 00:00:00","01000683-5","0101000020E6100000D1C6E07044C354C0A1D1F8901B2C4540"
"BLD2017-04642","287","","ALFRED","","","CofO Issued","12/4/2021 00:00:00","01000679.","0101000020E6100000C075A80D47C354C083D77118192C4540"
"BLD2017-04643","1948","","DIVISION","","PERMANENT CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","31/5/2019 00:00:00","09001353-6","0101000020E6100000014048EF4EC254C038B1F52EA72C4540"
"BLD2017-04709","18443",,"MACK",,"ERECTION OF A 22' L X 19'-6"" W X 28' H (744 SQ FT) TWO STORY OFFICE BUILDING AS PER PLANS.","CofO Issued","9/6/2022 00:00:00","21001612.","0101000020E6100000FCD999147CBA54C0F0AD233E84344540"
"BLD2017-04839","2645","","WOODWARD","","PERMANENT CERTIFICATE OF OCCUPANCY ISSUED
REVISED FROM BLD2017-03157 TO INCLUDE OFFICE SPACE ABOVE KID ROCK & MIKE'S PIZZA","CofO Issued","2/4/2019 00:00:00","02000572-638","0101000020E6100000883B770C85C354C002A063E8A62B4540"
"BLD2017-04840","1550",,"TAYLOR",,"MOD OF EXIST'G ASSEMBLY GROUP CHURCH 2 EST. MIXED OCC & USE OF ASSEMBLY GROUP COMMUNITY HALL, BUS GROUP OFF, EDUCATIONAL GROUP DAYCARE FACILITY& STORAGE GROUP LOW-HAZARD W/EXT & INT ALTERATIONS AS PER DRAWINGS.REVISE (BLD2016-04142) TO REFLECT TRUE SCOPE OF WORK AS INDICATED ON PLANS. NO CHANGE IN COST OF CONSTRUCTION.(REVISE BLD2017-03259) TO SHOW CHANGE IN CONSTRUCTION TYPE AS INDICATED.
REVISE BLD2017-04171) TO SHOW CHANGES IN SCOPE OF WORK (FIRE SEPARATIONS) AS INDICATED ON PLANS.","CofO Issued","29/7/2022 00:00:00","06002197.","0101000020E6100000E398D3B522C654C0B9ADD6F041304540"
"BLD2017-05223","3401","","PURITAN","","30 DAY TCO ISSUED 02/26/2018sl///45 DAY TCO EXTENSION ISSUED 04/12/2018sl","CofO Issued","29/1/2019 00:00:00",,
"BLD2017-05500","1855","","ALFRED","","ERECTION OF A 40' L X 24'W X 28' H PRE-ENGINEERED METAL RECREATION AND STORAGE BUILDING, FOUR PAVILION CONTAINERS, SITE IMPROVEMENTS, AND MOBILE FOOD TRUCKS IN A PUBLIC GREENWAY AS PER PLANS.","CofO Issued","13/6/2019 00:00:00",,
"BLD2017-05907","2645","","WOODWARD","","PERMANENT CERTIFICATE OF OCCUPANCY ISSUED/SPORTS SOCIAL","CofO Issued","2/4/2019 00:00:00","02000572-638","0101000020E6100000883B770C85C354C002A063E8A62B4540"
"BLD2017-06102","2130","","TRUMBULL","","REFER TO BLD2017-05588 FOR PLANS.
A.K.A 2125 EIGTH. CHANGE OF OCCUPANCY FROM TAXI DISPATCH TO LOFTS (52 UNITS) AND 1ST FLOOR RETAIL (WHITE-BOX)PER BSEED GRANT# 201-16 AND BZA#39-16 - 42-16 AS PER PLANS.","CofO Issued","27/6/2019 00:00:00","06005855-0","0101000020E610000019C12B8748C454C0A158E3A6932A4540"
"BLD2017-06106","2110","","EIGHTH","","REFER TO BLD2017-04812 FOR PLANS.
AKA 2112 EIGHTH. ERECTION OF A 86'-8""L X 30'W X 38'H THREE STORY 4 UNIT TOWNHOUSE BUILDING PER BSEED GRANT #202-16 AND BZA GRANT #40-16 PER PLANS.","CofO Issued","21/10/2019 00:00:00","-605","0101000020E6100000304F851A38C454C0B88617BB912A4540"
"BLD2017-06114","1355","W","ELIZABETH","","BLD ""C"" AKA 2050 EIGHTH ERECT A 5 STY 40 UNIT MULTI-FAMILY DWELLING W/1 STY FL WHITE BOX RETAIL PER BZA # 39-16 THRU 42-16 RECORDED WITH W/WCRD AS PER PLANS.
REFER TO BLD2017-04830 FOR PLANS 
SEE REVISED PERMIT BLD2018-06805 FOR ACTIVITY AFTER 11/20/18","CofO Issued","30/9/2019 00:00:00","-604","0101000020E6100000559A044532C454C0E885E89E832A4540"
"BLD2017-06115","1406","W","ELIZABETH","","ERECTION OF A NEW 160' L X 95' W X 52' H MIXED-USE RESIDENTIAL (45 UNITS) BLDG WITH 1ST FLOOR WHITE-BOX RETAIL PER BZA GRANT #39-16 THRU 42-16 AS PER PLANS.
REFER TO PERMIT#BLD2017-04831 FOR PLANS.","CofO Issued","10/10/2019 00:00:00",,
"BLD2017-06226","8401","","WOODMONT 6","","AKA 16811, 16821, 16837, 16843 BELTON. ERECTION OF ONE 4 UNIT ONE STORY WOOD FRAMED TOWNHOUSE AS PER PLANS. SEE BLD2017-00831 FOR MASTER SET OF PLANS.","CofO Issued","11/6/2019 00:00:00",,
"BLD2017-06230","8401","","WOODMONT 14","","CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","25/2/2019 00:00:00",,
"BLD2017-06233","8401","","WOODMONT 6","","","CofO Issued","25/2/2019 00:00:00",,
"BLD2017-06234","8401","","WOODMONT 6","","AKA 8072, 8080, 8090 MEMORIAL. ERECTION OF ONE 3 UNIT ONE STORY WOOD FRAMED TOWNHOUSE AS PER PLANS. SEE BLD2017-00831 FOR MASTER SET OF PLANS.","CofO Issued","11/6/2019 00:00:00",,
"BLD2017-06235","8401","","WOODMONT 6","","PERMANENT CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","25/2/2019 00:00:00",,
"BLD2017-06236","8401","","WOODMONT 6","","PERMANENT CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","25/2/2019 00:00:00",,
"BLD2017-06238","8401","","WOODMONT 6","","PERMANENT CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","25/2/2019 00:00:00",,
"BLD2017-06240","8401","","WOODMONT 6","","AKA 8032, 8040, 8046, 8056 MEMORIAL. ERECTION OF ONE 4 UNIT ONE STORY WOOD FRAMED TOWNHOUSE AS PER PLANS. SEE BLD2017-00831 FOR MASTER SET OF PLANS.","CofO Issued","11/6/2019 00:00:00",,
"BLD2017-06243","8401","","WOODMONT 6","","AKA 8035, 8039, 8045, 8055 ABINGTON. ERECTION OF ONE 4 UNIT ONE STORY WOOD FRAMED TOWNHOUSE AS PER PLANS. SEE BLD2017-00831 FOR MASTER SET OF PLANS.","CofO Issued","11/6/2019 00:00:00",,
"BLD2017-06245","8401","","WOODMONT 6","","PERMANENT CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","25/2/2019 00:00:00",,
"BLD2017-06246","8401","","WOODMONT 6","","SEE BLD2017-00831
AKA 8265, 8275, 8281, 8289 Abington. Erection of one 4 Unit Two Story Wood Framed Townhouse as per plans. See PRV2017-00245 for Master set of plans.","CofO Issued","25/2/2019 00:00:00",,
"BLD2017-06249","8401","","WOODMONT 6","","AKA 16808, 16816, 16824, 16830, 16838 TIREMAN. ERECTION OF ONE 5 UNIT ONE STORY WOOD FRAMED TOWNHOUSE AS PER PLANS. SEE PRV2017-00245 FOR MASTER SET OF PLANS.","CofO Issued","11/6/2019 00:00:00",,
"BLD2017-06253","8401","","WOODMONT 14","","90 DAY TCO ISSUED/10-25-2018/LANDSCAPING","CofO Issued","25/2/2019 00:00:00",,
"BLD2017-06254","8401","","WOODMONT 14","","SEE BLD2017-00831
AKA 8227, 8237, 8243, 8251 Abington. Erection of one 4 Unit Two Story Wood Framed Townhouse as per plans. See PRV2017-00245 for Master set of plans.///60 DAY TCO ISSUED 10/11/2018","CofO Issued","23/2/2019 00:00:00",,
"BLD2017-06256","8401","","WOODMONT 6","","PERMANENT CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","23/2/2019 00:00:00",,
"BLD2017-06257","8401","","WOODMONT 6","","PERMANENT CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","25/2/2019 00:00:00",,
"BLD2017-06267","12934","","EVERGREEN","","","CofO Issued","15/3/2019 00:00:00","22095488.004","0101000020E6100000B625225C1BCF54C0C1FFA65B11314540"
"BLD2017-06561","2645","","WOODWARD","","PERMENANT CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","2/4/2019 00:00:00","02000572-638","0101000020E6100000883B770C85C354C002A063E8A62B4540"
"BLD2017-06788","10","W","ADAMS","","PERMANENT CERTIFICATE OF OCCUPANCY ISSUED","CofO Issued","3/6/2019 00:00:00","02000388.","0101000020E6100000BADA263A48C354C0521DD264252B4540"
"BLD2017-07061","12160",,"COYLE",,"CHANGE OF USE FROM FACTORY TO MAJOR AUTO REPAIR AS PER BSEED 46-15 APPROVAL AND AS INDICATED ON PLANS. (DUMPSTER TO REMAIN AT INTERIOR OF BUILDING)","CofO Issued","19/5/2022 00:00:00","22044782-3","0101000020E610000036BCAE335BCC54C086C635ED50304540"
"BLD2017-07220","1454","","TOWNSEND","","","CofO Issued","21/8/2019 00:00:00",,"0101000020E6100000CF7BB4B81CC054C0FCD95190552D4540"
"BLD2017-07624","7009","W","VERNOR","","","CofO Issued","16/1/2019 00:00:00",,
