"inspection_id","establishment_id","name","inspection_date","inspection_type","inspector_id","priority_violations","foundation_violations","core_violations","total_corrected_priority___foun","in_compliance"
"36105","3858","Pollos Los Gallos","8/10/2016","Routine Inspection","128","3","3","1","6","Yes"
"36106","956","La Chambre Lounge  (Fire Damage)","8/10/2016","Routine Inspection","127","0","2","1","2","No"
"36107","1482","Hollywood Coney Island","8/10/2016","Routine Inspection","127","1","0","3","1","No"
"36108","4368","Club Yesterdays","8/10/2016","Routine Inspection","127","0","3","3","0","No"
"36109","2160","Fifty/50","8/9/2016","Routine Inspection","127","0","3","1","2","No"
"36111","4800","Asian Corned Beef","8/8/2016","Routine Inspection","127","0","0","0","6","Yes"
"36112","5238","Mr. C Fish Market Inc.","8/4/2016","Routine Inspection","127","0","2","1","2","No"
"36113","4267","Opyum Lounge","8/4/2016","Routine Inspection","127","1","1","2","2","Yes"
"36116","688","Trumpp's","8/3/2016","Routine Inspection","127","0","0","0","0","Yes"
"36117","5241","S & T Fresh Fish & Seafood Inc.","8/2/2016","Routine Inspection","127","1","5","2","6","Yes"
"36118","724","McDonald's #24733","8/1/2016","Routine Inspection","127","0","0","3","0","No"
"36119","642","Xochimilco, INC","8/8/2016","Routine Inspection","83","5","2","5","4","No"
"36122","5172","Danny's Diner","8/1/2016","Complaint","87","0","1","1","2","Yes"
"36123","1580","Diamond Jack-Blue Water Exploration","8/11/2016","Mobile Inspection","87","0","0","3","0","No"
"36124","1632","Taqueria Lupitas","8/11/2016","Routine Inspection","87","1","0","0","1","Yes"
"36125","225","Renaissance Bowling Center","8/13/2016","Routine Inspection","87","0","0","1","0","Yes"
"36126","5193","Gus's Fried Chicken","8/10/2016","Preopening/New","122","0","0","1","0","Yes"
"36128","878","John's Grill Coney Island","8/2/2016","Routine Inspection","112","0","0","1","0","No"
"36129","5362","McDonald's","8/2/2016","Routine Inspection","112","0","2","3","2","No"
"36130","3331","Legends Grill","8/15/2016","Routine Inspection","87","0","3","4","3","Yes"
"36131","1352","McDonald's #7025","8/11/2016","Complaint","129","0","0","0","0","Yes"
"36135","5240","Red Sea Food Inc.","8/16/2016","Routine Inspection","87","1","1","2","1","No"
"36136","1578","Grandy's Coney Island","8/16/2016","Routine Inspection","87","1","2","6","3","No"
"36137","4913","Wyoming Fresh Fish","8/16/2016","Routine Inspection","129","1","1","3","2","Yes"
"36140","2159","Roberts Riverwalk Hotel","8/16/2016","Routine Inspection","87","0","0","7","0","No"
"36144","1800","Wendy's","8/18/2016","Routine Inspection","87","0","0","4","0","Yes"
"36145","1932","Hernandez Center Head Start","8/18/2016","Routine Inspection","124","1","0","1","1","Yes"
"36146","2744","Super 3 Coney Island","8/16/2016","Routine Inspection","129","1","1","1","2","Yes"
"36147","5186","The Royce Detroit","8/15/2016","Enforcement referral","122","0","0","0","0","Yes"
"36148","5212","Beyond Juicery & Eatery","8/18/2016","Preopening/New","122","0","0","0","0","Yes"
"36149","5301","Mr. Fofo's Deli","8/18/2016","Routine Inspection","129","2","2","4","4","No"
"36153","5036","Maya's Indo-Pak Cuisine","8/16/2016","Routine Inspection","114","3","0","4","3","No"
"36154","1510","New Taystee's Pizza","8/10/2016","Routine Inspection","112","0","2","0","2","Yes"
"36155","5330","Halal Pizza Box","8/8/2016","Routine Inspection","112","0","4","2","4","Yes"
"36158","4825","The Bakery","8/8/2016","Routine Inspection","112","1","2","0","3","Yes"
"36161","300","Billy's Coney Island","8/8/2016","Routine Inspection","112","1","0","2","1","No"
"36164","1460","Joe's Deli (Birmingham Deli)","8/5/2016","Routine Inspection","114","2","1","3","3","No"
"36165","2778","Chen's China House INC","8/5/2016","Routine Inspection","114","0","0","0","0","Yes"
"36166","2392","Royal Grill","8/5/2016","Routine Inspection","114","2","0","1","2","Yes"
"36167","1596","Cass Cafe","8/8/2016","Routine Inspection","114","1","1","0","2","Yes"
"36168","4608","Go! Sy Thai","8/8/2016","Routine Inspection","114","2","1","1","3","Yes"
"36169","4956","Falafill","8/8/2016","Routine Inspection","114","0","2","4","2","Yes"
"36170","4152","Slows To Go","8/15/2016","Routine Inspection","114","0","0","0","0","Yes"
"36171","4646","La Feria Spanish Tapas","8/15/2016","Routine Inspection","114","2","0","3","2","No"
"36172","4370","Fourteen East, LLC","8/16/2016","Routine Inspection","114","1","0","0","1","Yes"
"36173","1515","Pizzaplace Dearborn, Inc","8/9/2016","Routine Inspection","112","1","2","0","3","Yes"
"36174","1084","Paradise Chop Suey","8/16/2016","Routine Inspection","124","1","1","3","2","Yes"
"36176","3810","Catering Society, Inc.","8/11/2016","Routine Inspection","124","1","0","1","1","Yes"
"36179","3977","Starter's Bar and Grill","8/10/2016","Routine Inspection","114","3","4","3","7","No"
"36181","660","Telway System","8/1/2016","Routine Inspection","83","1","1","2","1","No"
"36184","5328","Detroit City Coney Island","8/16/2016","Routine Inspection","124","4","4","3","8","Yes"
"36195","3197","Rafidian Shish Kabob","8/17/2016","Routine Inspection","112","0","1","0","1","Yes"
"36200","1352","McDonald's #7025","8/23/2016","Complaint","129","0","0","3","0","Yes"
"36201","3260","St. John's Congregational Church","8/22/2016","Routine Inspection","87","1","1","3","2","Yes"
"36204","513","Subway Harbortown Detroit","8/22/2016","Routine Inspection","87","0","0","2","0","Yes"
"36211","3526","St. Peter & Paul Orthodox Cathedral","8/23/2016","Routine Inspection","128","0","0","0","0","Yes"
"36213","3996","Park Bar","8/16/2016","Routine Inspection","121","1","0","3","1","Yes"
"36214","1681","Hilton Garden Inn/ American Grill","8/23/2016","Routine Inspection","121","0","3","1","2","No"
"36215","1618","Bai Mai Thai Lafayette","8/23/2016","Routine Inspection","121","3","4","7","4","No"
"36216","493","Dynasty Chinese Food","8/23/2016","Routine Inspection","124","2","0","4","2","Yes"
"36218","1711","Dynasty Chinese","8/23/2016","Routine Inspection","87","0","0","1","0","No"
"36219","4156","Samaritan Cafe","8/23/2016","Routine Inspection","87","0","1","0","1","Yes"
"36220","5226","Calexico","8/23/2016","Routine Inspection","121","3","1","3","4","Yes"
"36221","550","Pandora's Boxx, LLC","8/24/2016","Closed - Temporary","126","0","0","0","0","Yes"
"36225","4902","HopCat Detroit","8/23/2016","Routine Inspection","114","3","3","3","6","Yes"
"36230","1461","Bert's Market Place -Jazz Bar/Food Court","8/23/2016","Routine Inspection","114","2","4","3","4","No"
"36234","1798","Wendy's Old Fashioned Hamburgers #0820","8/24/2016","Routine Inspection","129","2","0","1","2","Yes"
"36236","4903","Babyback's Open Pit","8/24/2016","Routine Inspection","129","1","0","1","1","Yes"
"36237","1023","U Of D Coney Island #1","8/24/2016","Routine Inspection","129","3","1","3","4","No"
"36239","5349","Total Vending","8/18/2016","Routine Inspection","83","1","0","1","0","No"
"36241","1441","Donovan's Pub","8/25/2016","Routine Inspection","128","0","0","0","0","Yes"
"36242","1561","Club International","8/25/2016","Routine Inspection","128","0","1","2","0","No"
"36244","5186","The Royce Detroit","8/25/2016","Routine Inspection","121","0","0","0","0","Yes"
"36245","4586","Total Vending","8/18/2016","Routine Inspection","83","0","0","0","0","Yes"
"36246","4971","Total Vending ","8/18/2016","Routine Inspection","83","0","0","0","0","Yes"
"36249","1788","Total Vending","8/18/2016","Routine Inspection","83","0","0","0","0","Yes"
"36250","5262","Total Vending","8/18/2016","Routine Inspection","83","0","0","0","0","Yes"
"36251","4581","Total Vending","8/18/2016","Routine Inspection","83","0","0","0","0","Yes"
"36255","382","Centerfold","8/24/2016","Routine Inspection","126","1","0","2","1","No"
"36257","2448","Pizza Hut ","8/23/2016","Routine Inspection","126","1","0","0","1","Yes"
"36261","516","Witchcraft Krakus Bar & Restaurant","8/2/2016","Routine Inspection","126","0","1","1","1","Yes"
"36263","1398","Asian Corned Beef","8/1/2016","Routine Inspection","126","0","3","3","2","No"
"36264","5128","Yonka Grill & Dairy","8/25/2016","Routine Inspection","126","0","0","0","0","Yes"
"36266","4496","Motown Coney Island","8/2/2016","Routine Inspection","126","0","1","3","1","No"
"36267","2811","Captain Jay's Fish & Chicken","8/2/2016","Routine Inspection","126","0","0","1","0","Yes"
"36268","541","D Motown Deli","8/2/2016","Routine Inspection","126","0","0","3","0","No"
"36269","2148","Operation Get Down","8/25/2016","Routine Inspection","87","4","1","2","5","Yes"
"36270","2127","Kentucky Fried Chicken","8/29/2016","Complaint","129","0","0","0","0","Yes"
"36271","2162","White Castle #59","8/5/2016","Routine Inspection","126","0","0","0","0","Yes"
"36273","4836","McDonald's","8/8/2016","Routine Inspection","126","1","1","0","2","Yes"
"36274","500","McShane's","8/15/2016","Routine Inspection","124","3","0","1","3","No"
"36275","1197","Yiu Chan Restaurant","8/10/2016","Routine Inspection","126","1","0","1","1","Yes"
"36277","4112","The Keep","8/25/2016","Routine Inspection","121","0","2","0","0","No"
"36278","1013","Church's Fried Chicken #302","8/18/2016","Routine Inspection","124","1","0","2","1","Yes"
"36280","3926","Camino Real Restaurant","8/29/2016","Routine Inspection","128","1","1","2","2","Yes"
"36281","2073","Senor Lopez Taqueria Mexican","8/30/2016","Routine Inspection","124","1","2","1","3","No"
"36282","612","Cafe 1 - Henry Ford Health System","8/30/2016","Routine Inspection","114","2","0","3","2","Yes"
"36283","2165","New Center Eatery","8/26/2016","Hearing - Follow Up","114","1","0","0","1","Yes"
"36285","1244","Bethel Baptist Church East","8/30/2016","Routine Inspection","87","0","0","0","0","Yes"
"36286","1391","Joseph's Coney Island","8/30/2016","Routine Inspection","87","0","1","0","1","Yes"
"36289","4817","Craft Work","8/30/2016","Routine Inspection","87","1","1","1","2","Yes"
"36290","1376","Kentucky Fried Chicken H730220","8/11/2016","Routine Inspection","126","0","0","0","0","Yes"
"36291","5287","Mary Lee's Carryout","8/11/2016","Routine Inspection","126","1","0","0","1","Yes"
"36292","2141","Maitais","8/11/2016","Routine Inspection","126","1","0","0","1","Yes"
"36293","5070","Mi Lindo Sanblas","8/30/2016","Routine Inspection","128","1","3","1","4","Yes"
"36294","4704","Subway","8/11/2016","Routine Inspection","126","0","0","0","0","Yes"
"36295","4704","Subway","8/11/2016","Routine Inspection","126","0","1","0","1","Yes"
"36296","3621","Nunn's Bar-B-Que Restaurant II","8/15/2016","Routine Inspection","126","0","1","2","1","Yes"
"36297","1888","BAL Inc/ Touch Lounge","8/17/2016","Routine Inspection","112","1","0","3","1","No"
"36298","3801","Woodbridge Pub","8/30/2016","Routine Inspection","124","0","0","4","0","Yes"
"36299","4481","Roasting Plant Coffee","8/31/2016","Routine Inspection","124","2","0","2","2","Yes"
"36300","1669","Chopstick Carry-out","8/25/2016","Routine Inspection","112","0","0","4","0","No"
"36302","492","Escape Lounge","8/16/2016","Routine Inspection","126","0","1","1","1","Yes"
"36303","2776","Nu Wave Fish & Chicken","8/16/2016","Routine Inspection","126","1","0","0","1","Yes"
"36304","4465","#1 Chinese Food","8/16/2016","Routine Inspection","126","0","0","2","0","No"
"36305","5249","Motown Cafe Grill","8/18/2016","Routine Inspection","126","3","0","1","3","Yes"
"36306","5016","Mr. B's Soul Food Truck #2","8/25/2016","Routine Inspection","114","1","5","1","6","Yes"
"36307","3650","American Axle","8/25/2016","Routine Inspection","114","0","0","1","0","No"
"36308","5202","Rock City Eatery","8/18/2016","Preopening/New","122","1","1","3","2","Yes"
"36309","1454","Mexican Town Restaurant","8/31/2016","Routine Inspection","128","2","1","2","1","No"
"36310","5285","Hope of Detroit Academy Mid/High School","8/29/2016","Preopening/New","122","0","0","0","0","Yes"
"36311","4640","Little Caesar's #149","8/23/2016","Routine Inspection","126","0","1","1","1","Yes"
"36312","1864","Hec's Stables","8/23/2016","Routine Inspection","126","0","0","0","0","Yes"
"36313","3633","Subway #26842","8/25/2016","Routine Inspection","126","0","0","1","0","No"
"36314","4822","Captain Jay's Fish & Chicken #107","8/26/2016","Routine Inspection","126","0","0","1","0","Yes"
"36315","4366","Sweetwater Express (Harper)","8/30/2016","Routine Inspection","126","0","1","1","1","No"
"36316","1724","Jefferson Douglass Academy","8/30/2016","Routine Inspection","126","0","0","0","0","Yes"
"36317","4936","Checker's #3426","8/30/2016","Routine Inspection","126","0","1","1","1","Yes"
"36318","2454","Happy's Pizza #6","8/23/2016","Routine Inspection","112","0","1","0","1","Yes"
"36319","1985","Food Exchange (Harvey's Fabulous Foods)","8/30/2016","Routine Inspection","126","0","0","1","0","Yes"
"36320","1366","Little Caesar's Pizza #64","8/30/2016","Routine Inspection","129","1","0","2","1","Yes"
"36321","5175","Gunny Ray's Shrimp & Chicken","8/30/2016","Routine Inspection","129","2","2","3","4","Yes"
"36322","2664","Wendy's Old Fashioned Hamburgers #8633","8/30/2016","Routine Inspection","129","1","0","1","1","Yes"
"36323","1469","Noni's Sherwood Grille","8/31/2016","Routine Inspection","129","3","1","4","4","Yes"
"36324","306","Lou's Finer Deli, Inc.","8/31/2016","Routine Inspection","129","0","1","4","1","No"
"36325","1258","Belle Isle Casino","8/31/2016","Routine Inspection","87","1","1","3","2","Yes"
"36326","4467","Motor City Burgzs","9/1/2016","Routine Inspection","87","0","0","1","0","Yes"
"36327","3195","La Cina","9/1/2016","Routine Inspection","87","2","0","0","2","Yes"
"36329","1352","McDonald's #7025","9/2/2016","Complaint","129","0","0","1","0","No"
"36330","5067","Andiamo Italia Food Truck","9/3/2016","Routine Inspection","129","0","0","0","0","Yes"
"36332","4630","Just Martinis Bar and Grill (DBA Demi's)","8/22/2016","Preopening/New","122","0","1","5","1","Yes"
"36333","542","3 ELEVEN ULTRA LOUNGE","8/24/2016","Routine Inspection","112","1","5","4","4","No"
"36334","3520","Nu Wave Fish & Chicken","8/31/2016","Routine Inspection","129","1","2","2","3","Yes"
"36335","5179","Original T & J Coney Island","9/1/2016","Routine Inspection","129","1","2","5","3","No"
"36336","330","Raven Lounge & Restaurant","8/24/2016","Routine Inspection","87","0","0","6","0","Yes"
"36337","1560","Mr. Steve's Pizza","8/24/2016","Routine Inspection","112","0","0","0","0","Yes"
"36338","379","Roostertail Inc.","8/24/2016","Routine Inspection","87","0","0","1","0","Yes"
"36339","1071","McDonald's #2527","8/5/2016","Routine Inspection","87","1","0","1","1","Yes"
"36340","1251","Parkview Place","9/6/2016","Routine Inspection","87","0","0","0","0","Yes"
"36341","5156","Pie-Sci Pizza","8/31/2016","Routine Inspection","124","1","2","1","3","Yes"
"36342","5198","Bigalora Wood Fired Cucina","9/1/2016","Preopening/New","122","0","0","0","1","Yes"
"36343","5320","Maru Detroit","9/1/2016","Preopening/New","122","0","0","2","0","Yes"
"36344","4918","Pontchartrain Hotel- Top of the Pontch","9/1/2016","Routine Inspection","127","4","1","3","5","No"
"36345","4628","La Dulce","9/1/2016","Routine Inspection","127","3","2","1","4","No"
"36346","5294","Eleo's Ministries, Inc.","9/7/2016","Preopening/New","122","0","0","1","0","Yes"
"36348","918","Most Holy Trinity School","9/7/2016","Routine Inspection","87","0","0","2","0","Yes"
"36349","1158","Franklin Gourmet Dairy Bar","9/7/2016","Routine Inspection","87","1","2","4","3","No"
"36350","4572","Legends Grill","8/1/2016","Routine Inspection","124","3","4","2","6","Yes"
"36351","3808","Get Back Up","9/7/2016","Routine Inspection","124","1","2","1","3","Yes"
"36352","4224","Comerica Park- Vending Commissaries","8/31/2016","Routine Inspection","121","1","3","2","4","Yes"
"36353","1705","Northwest Community Programs, Inc.","9/7/2016","Routine Inspection","129","0","0","2","0","No"
"36354","1160","Caribbean Citchen","9/7/2016","Routine Inspection","129","1","1","5","2","No"
"36357","286","Jerry's Pizza & B-B-Q Inc.","9/8/2016","Routine Inspection","124","3","2","7","5","Yes"
"36359","5181","Coldstone Creamery","9/8/2016","Complaint","121","0","1","0","0","No"
"36360","4958","Don Bosco Hall/YouthVille Detroit","9/2/2016","Routine Inspection","114","1","0","0","1","Yes"
"36361","4854","The Detroit Pizza Co. /Nom Nom's Cupcake","9/7/2016","Routine Inspection","114","1","1","3","2","Yes"
"36362","3707","Wasabi","9/7/2016","Routine Inspection","114","2","3","5","5","Yes"
"36363","4842","Woodward Garden Venue/The Block","9/8/2016","Routine Inspection","114","4","5","4","9","Yes"
"36367","1432","Taylor Made Burgers","9/2/2016","Routine Inspection","126","0","0","1","0","Yes"
"36368","3738","Popeye's #941","9/1/2016","Routine Inspection","126","0","0","0","0","Yes"
"36369","1286","Leong's Carry Out","8/31/2016","Routine Inspection","126","0","0","1","0","Yes"
"36370","1019","Little Caesar's Pizza #90","9/1/2016","Routine Inspection","126","0","0","2","0","No"
"36371","3750","Zorba's Coney Island","9/1/2016","Routine Inspection","126","1","1","0","2","Yes"
"36372","308","Capers","9/7/2016","Routine Inspection","126","1","0","1","1","Yes"
"36373","3309","Wendy's Old Fashioned Hamburgers","9/1/2016","Routine Inspection","126","0","0","1","0","No"
"36374","5013","Fist of Curry","9/8/2016","Routine Inspection","87","1","0","2","1","Yes"
"36375","1349","Mudgie's","9/8/2016","Complaint","87","0","0","2","0","No"
"36376","1559","Tai Hing Carry Out","9/9/2016","Routine Inspection","87","0","1","0","1","Yes"
"36377","4977","Jungle Juice","9/9/2016","Routine Inspection","87","0","0","1","0","Yes"
"36378","1671","Happy's Pizza #3","9/7/2016","Routine Inspection","126","0","0","2","0","Yes"
"36379","1081","Kentucky Fried Chicken ","9/8/2016","Routine Inspection","129","0","0","1","0","Yes"
"36380","4989","Lape Soul Food","9/7/2016","Routine Inspection","126","0","0","1","0","Yes"
"36382","1863","New Law Elementary","9/7/2016","Routine Inspection","126","0","0","1","0","Yes"
"36383","5181","Coldstone Creamery","9/8/2016","Routine Inspection","121","0","4","2","1","No"
"36385","4858","Larry's","9/12/2016","Unlicensed Establish","126","0","0","0","0","Yes"
"36386","5338","R & D One Stop Meals ( King Kong) ","9/12/2016","Routine Inspection","126","1","0","1","1","Yes"
"36387","4495","Scores","9/12/2016","Unlicensed Establish","121","0","0","0","0","Yes"
"36388","1176","Church's Fried Chicken #974","8/31/2016","Routine Inspection","126","0","0","1","0","No"
"36389","3086","B & B's Diner","9/8/2016","Routine Inspection","126","0","0","2","0","Yes"
"36390","577","Man Dees Lounge","9/2/2016","Routine Inspection","126","0","1","1","1","Yes"
"36391","5103","Detroit Water Ice Factory ","9/8/2016","Routine Inspection","121","3","2","2","1","No"
"36393","1344","Williams Recreation Center","9/9/2016","Routine Inspection","124","1","0","2","0","No"
"36394","1575","China 1 Chinese Restaurant","9/7/2016","Routine Inspection","127","0","1","1","1","Yes"
"36395","2393","Cosmos Coney Island","9/7/2016","Routine Inspection","127","2","4","1","6","Yes"
"36396","2328","DeAngelo's Soul 313 Soul Cafe","9/9/2016","Routine Inspection","127","0","1","2","1","No"
"36397","3773","Motor City Casino - Sweet Ride Coffee","9/13/2016","Routine Inspection","130","0","0","0","0","Yes"
"36398","3771","Motor City Casino-Grand River Deli & Bur","9/13/2016","Routine Inspection","130","0","0","0","0","Yes"
"36399","4372","Motor City Casino - Lodge Diner","9/13/2016","Routine Inspection","130","0","1","0","1","Yes"
"36400","4021","Motor City Casino - Little Caesars","9/13/2016","Routine Inspection","130","1","0","1","1","Yes"
"36401","3769","Motor City Casino - Assembly Line Buffet","9/13/2016","Routine Inspection","87","0","0","2","0","No"
"36402","3783","Motor City Casino - Sound Board","9/13/2016","Routine Inspection","87","0","0","0","0","Yes"
"36403","3785","Motor City Casino - Theatre Bar #3","9/13/2016","Routine Inspection","87","0","0","1","0","Yes"
"36404","456","Lucky Dragon","9/12/2016","Routine Inspection","87","1","0","5","1","Yes"
"36405","3728","Motor City Casino - Iridescence","9/13/2016","Routine Inspection","124","0","1","1","1","Yes"
"36406","455","Starters Lounge","8/30/2016","Routine Inspection","112","3","1","4","4","No"
"36407","4340","Hot Taco","8/24/2016","Routine Inspection","127","2","1","1","3","Yes"
"36408","1942","Kentucky Fried Chicken F428120","9/12/2016","Routine Inspection","127","0","1","0","1","Yes"
"36409","4882","Nicky D's Coney Island","9/12/2016","Routine Inspection","127","1","1","1","2","No"
"36410","1522","Fiberglass Estate Corp. ","9/7/2016","Routine Inspection","112","0","0","0","0","Yes"
"36411","2717","Checkers ","9/13/2016","Routine Inspection","127","0","0","1","0","No"
"36412","3397","Patton Recreation Center","9/13/2016","Routine Inspection","128","0","0","0","0","Yes"
"36413","305","Matrix Head Start-Manuel Reyes","9/13/2016","Routine Inspection","128","0","0","0","0","Yes"
"36414","5065","Johnson's Southern Bar And Grille","9/8/2016","Routine Inspection","112","0","0","0","0","Yes"
"36415","256","Hurry Inn ","9/9/2016","Routine Inspection","112","0","0","0","0","Yes"
"36416","4823","City Covenant Church","9/7/2016","Routine Inspection","112","0","0","0","0","Yes"
"36417","4150","Grace Bible Chapel","9/7/2016","Routine Inspection","112","0","0","0","0","Yes"
"36418","5030","Good Night Lounge","9/7/2016","Routine Inspection","112","0","1","0","1","Yes"
"36419","2355","Nicky D's Coney Island","9/13/2016","Routine Inspection","127","2","3","2","5","Yes"
"36420","485","Farmer's Restaurant","9/14/2016","Routine Inspection","114","0","0","0","0","Yes"
"36421","4180","Mootown Ice Cream Shoppe","8/25/2016","Routine Inspection","114","0","0","0","1","Yes"
"36422","4406","Byblos Cafe & Grill II","8/24/2016","Routine Inspection","114","1","2","2","3","No"
"36423","4438","U of Detroit Mercy-Tommy's Smoothies","9/13/2016","Routine Inspection","129","0","0","1","0","No"
"36424","1577","U of Detroit Mercy-Student Cafe/Poblanos","9/13/2016","Routine Inspection","129","3","0","2","3","Yes"
"36425","4143","U of Detroit Mercy-Library Cafe","9/13/2016","Routine Inspection","129","0","0","0","0","Yes"
"36426","4413","U of Detroit Mercy-Subway","9/13/2016","Routine Inspection","129","0","0","0","0","Yes"
"36427","880","U of Detroit Mercy- Calihan Hall","9/13/2016","Routine Inspection","129","0","0","0","0","Yes"
"36428","2048","Elwood Bar & Grill","9/14/2016","Routine Inspection","121","2","4","1","2","No"
"36429","322","Twentieth Century Club, (Gem Theatre)","9/14/2016","Routine Inspection","121","0","0","0","0","Yes"
"36430","4801","Hot Toppings","8/15/2016","Routine Inspection","127","2","4","2","5","No"
"36431","453","White Castle #51","9/14/2016","Routine Inspection","124","2","1","0","3","Yes"
"36432","1934","Steve's Soul Food-Commissary","8/24/2016","Routine Inspection","124","4","2","7","6","No"
"36433","4069","Pupuseria Y Restaurant","9/15/2016","Routine Inspection","128","1","0","0","1","Yes"
"36434","1934","Steve's Soul Food-Commissary","8/25/2016","Cease and Desist","124","0","0","0","0","Yes"
"36435","592","Gaelic League Irish American Club","8/15/2016","Routine Inspection","124","1","1","1","2","Yes"
"36436","4000","Motor City Casino - Room Svce","9/13/2016","Routine Inspection","124","1","1","0","2","Yes"
"36437","3999","Motor City Casino - Signature Restaurant","9/13/2016","Routine Inspection","124","2","1","2","3","Yes"
"36438","4906","Jose's Tacos, LLC","9/15/2016","Routine Inspection","121","2","3","3","3","No"
"36439","4225","Comerica Park- Concession Stands","8/31/2016","Routine Inspection","121","1","3","1","4","Yes"
"36440","4339","Comerica Park- Mobile Venues","8/31/2016","Routine Inspection","121","0","0","0","0","Yes"
"36441","4223","Comerica Park- 300 Level Lounge","8/31/2016","Routine Inspection","121","0","0","0","0","Yes"
"36442","3658","Spiritual Israel Church","9/16/2016","Routine Inspection","87","0","0","3","0","No"
"36443","429","PJ's Lager House","9/9/2016","Routine Inspection","87","0","0","3","0","Yes"
"36444","3716","Chik-N-Wings","9/15/2016","Closed - Temporary","129","0","0","0","0","Yes"
"36446","3627","The Coffee Shop & Deli","9/16/2016","Routine Inspection","114","1","2","3","3","Yes"
"36447","5011","Chartreuse Kitchen & Cocktails","9/14/2016","Complaint","114","0","0","0","0","Yes"
"36448","5187","Fulin","9/7/2016","Routine Inspection","124","3","1","2","4","Yes"
"36449","1426","Burger King #5771","9/14/2016","Routine Inspection","129","0","0","3","0","No"
"36450","4170","New Center Park","8/31/2016","Routine Inspection","114","1","0","1","1","Yes"
"36451","1712","JCE Acquisitions, LLC  DBA Subway ","9/15/2016","Routine Inspection","114","3","3","7","6","Yes"
"36452","2361","Kentucky Fried Chicken H730222","9/14/2016","Routine Inspection","129","0","0","2","0","Yes"
