"inspectionid","inspectiondate","inspection_type","establishmentid","name","violation","violation_description","violation_type","item1","item2","item3","problem1","problem2","problem3","inspectarea","location1","location2","corrected","days_to_correct","date_corrected","correction_description","critical"
"60047","5/9/2022","Routine Inspection","950","Kwong Village Chinese American","6-301.12","Each HANDWASHING SINK or group of adjacent HANDWASHING SINKS shall be provided with:
(A) Individual, disposable towels; (Pf)
(B) A continuous towel system that supplies the user with a clean towel;(Pf) or 
(C) A heated-air hand drying device.(Pf)
(D) A hand drying device that employs an air-knife system that delivers high velocity pressurized air at ambient temperatures.(Pf)
","Foundation","Sanitary hand drying provisions",,,"Not provided",,,"HANDSINK(S)",,,"True","10","5/9/2022",,"True"
"60045","5/5/2022","Routine Inspection","1747","China House","3-501.17","(A)  READY-TO-EAT, POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD)  prepared and held refrigerated for more than 24 hours in a FOOD ESTABLISHMENT  shall be clearly marked at the time of preparation to indicate the date or day by which the FOOD shall be consumed. (Pf)
(B)  A container of refrigerated, commercially prepared READY-TO-EAT POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD)  shall be clearly marked, at the time the original container is opened in a FOOD ESTABLISHMENT, to indicate the date or day by which the FOOD shall be consumed. (Pf)

A date marking system that does not exceed 7 days, including date of preparation, or opening is to be used. (Pf)
","Foundation","In house prepared ready-to-eat potentially hazardous  food(s)",,,"Without date of consumption marking",,,"WALK-IN COOLER",,,"True","10","5/5/2022",,"True"
"60040","4/19/2022","Routine Inspection","4966","Rincon Tropical","4-302.14","A test kit or other device that accurately measures the concentration in mg/L of SANITIZING solutions shall be provided. (Pf)
","Foundation","Sanitizer test kit",,,"Not provided",,,"KITCHEN",,"","False","10",,,"True"
"60040","4/19/2022","Routine Inspection","4966","Rincon Tropical","4-602.13","NonFOOD-CONTACT SURFACES of EQUIPMENT shall be cleaned at a frequency necessary to preclude accumulation of soil residues.
","Core","Nonfood contact surface(s)",,,"Soiled",,,"COOKING AREA",,,"False","30",,,"False"
"60040","4/19/2022","Routine Inspection","4966","Rincon Tropical","3-501.17","(A)  READY-TO-EAT, POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD)  prepared and held refrigerated for more than 24 hours in a FOOD ESTABLISHMENT  shall be clearly marked at the time of preparation to indicate the date or day by which the FOOD shall be consumed. (Pf)
(B)  A container of refrigerated, commercially prepared READY-TO-EAT POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD)  shall be clearly marked, at the time the original container is opened in a FOOD ESTABLISHMENT, to indicate the date or day by which the FOOD shall be consumed. (Pf)

A date marking system that does not exceed 7 days, including date of preparation, or opening is to be used. (Pf)
","Foundation","In house prepared ready-to-eat potentially hazardous  food(s)",,,"Without date of consumption marking",,,"WALK-IN COOLER",,,"True","10","4/19/2022",,"True"
"60039","4/12/2022","Routine Inspection","4191","Captain Jay's Fish & Chicken #108","4-602.13","NonFOOD-CONTACT SURFACES of EQUIPMENT shall be cleaned at a frequency necessary to preclude accumulation of soil residues.
","Core","Nonfood contact surface(s)",,,"Soiled",,,"KITCHEN",,,"False","30",,,"False"
"60039","4/12/2022","Routine Inspection","4191","Captain Jay's Fish & Chicken #108","2-402.11","FOOD EMPLOYEES shall wear hair restraints such as hats, hair coverings or nets, beard restraints, and clothing that covers body hair, that are designed and worn to effectively keep their hair from contacting exposed FOOD; clean EQUIPMENT, UTENSILS, and LINENS; or unwrapped SINGLE-SERVICE or SINGLE-USE ARTICLES.","Core","Hair restraint",,,"Not worn on head/hair",,,"KITCHEN",,,"False","30",,,"False"
"60038","4/12/2022","Routine Inspection","4961","New Harper Seafood & Chicken","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core","Physical facilities/structures",,,"Greasy",,,"KITCHEN",,,"False","30",,,"False"
"60038","4/12/2022","Routine Inspection","4961","New Harper Seafood & Chicken","4-602.13","NonFOOD-CONTACT SURFACES of EQUIPMENT shall be cleaned at a frequency necessary to preclude accumulation of soil residues.
","Core","Nonfood contact surface(s)",,,"Soiled",,,"FRYER AREA",,,"False","30",,,"False"
"60037","4/11/2022","Routine Inspection","51623527","Kenilworth Cafe","3-501.17","(A)  READY-TO-EAT, POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD)  prepared and held refrigerated for more than 24 hours in a FOOD ESTABLISHMENT  shall be clearly marked at the time of preparation to indicate the date or day by which the FOOD shall be consumed. (Pf)
(B)  A container of refrigerated, commercially prepared READY-TO-EAT POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD)  shall be clearly marked, at the time the original container is opened in a FOOD ESTABLISHMENT, to indicate the date or day by which the FOOD shall be consumed. (Pf)

A date marking system that does not exceed 7 days, including date of preparation, or opening is to be used. (Pf)
","Foundation","In house prepared ready-to-eat potentially hazardous  food(s)",,,"Without date of consumption marking",,,"WALK-IN COOLER",,,"True","10","4/11/2022",,"True"
"60036","4/14/2022","Routine Inspection","286","Jerry's Pizza & B-B-Q Inc.","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core","Physical facilities/structures",,,"Soiled",,,"WALL(S)",,,"False","30",,,"False"
"60036","4/14/2022","Routine Inspection","286","Jerry's Pizza & B-B-Q Inc.","6-301.12","Each HANDWASHING SINK or group of adjacent HANDWASHING SINKS shall be provided with:
(A) Individual, disposable towels; (Pf)
(B) A continuous towel system that supplies the user with a clean towel;(Pf) or 
(C) A heated-air hand drying device.(Pf)
(D) A hand drying device that employs an air-knife system that delivers high velocity pressurized air at ambient temperatures.(Pf)
","Foundation","Sanitary hand drying provisions",,,"Not provided",,,"PREP AREA(S)",,,"True","10","4/14/2022",,"True"
"60034","4/8/2022","Routine Inspection","2016","Wendy's ","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core","Physical facilities/structures",,,"With accumulation of debris",,,"MOP SINK AREA",,,"False","30",,,"False"
"60032","6/23/2022","Routine Inspection","2950","Slows BBQ","6-301.12","Each HANDWASHING SINK or group of adjacent HANDWASHING SINKS shall be provided with:
(A) Individual, disposable towels; (Pf)
(B) A continuous towel system that supplies the user with a clean towel;(Pf) or 
(C) A heated-air hand drying device.(Pf)
(D) A hand drying device that employs an air-knife system that delivers high velocity pressurized air at ambient temperatures.(Pf)
","Foundation","Sanitary hand drying provisions",,,"Not provided",,,"BAR",,,"True","10","6/23/2022",,"True"
"60032","6/23/2022","Routine Inspection","2950","Slows BBQ","6-301.12","Each HANDWASHING SINK or group of adjacent HANDWASHING SINKS shall be provided with:
(A) Individual, disposable towels; (Pf)
(B) A continuous towel system that supplies the user with a clean towel;(Pf) or 
(C) A heated-air hand drying device.(Pf)
(D) A hand drying device that employs an air-knife system that delivers high velocity pressurized air at ambient temperatures.(Pf)
","Foundation",,,,,,,"BAR",,,"True","10","6/23/2022",,"True"
"60032","6/23/2022","Routine Inspection","2950","Slows BBQ","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core","Physical facilities/structures",,,"Not clean",,,"COOKING AREA",,,"False","30",,,"False"
"60032","6/23/2022","Routine Inspection","2950","Slows BBQ","3-501.17","(A)  READY-TO-EAT, POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD)  prepared and held refrigerated for more than 24 hours in a FOOD ESTABLISHMENT  shall be clearly marked at the time of preparation to indicate the date or day by which the FOOD shall be consumed. (Pf)
(B)  A container of refrigerated, commercially prepared READY-TO-EAT POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD)  shall be clearly marked, at the time the original container is opened in a FOOD ESTABLISHMENT, to indicate the date or day by which the FOOD shall be consumed. (Pf)

A date marking system that does not exceed 7 days, including date of preparation, or opening is to be used. (Pf)
","Foundation","In house prepared ready-to-eat potentially hazardous  food(s)",,,"Without date of consumption marking",,,"WALK-IN COOLER",,,"True","10","6/23/2022",,"True"
"60032","6/23/2022","Routine Inspection","2950","Slows BBQ","4-602.13","NonFOOD-CONTACT SURFACES of EQUIPMENT shall be cleaned at a frequency necessary to preclude accumulation of soil residues.
","Core","Nonfood contact surface(s)",,,"Soiled",,,"COOKING AREA","","","False","30",,,"False"
"60032","6/23/2022","Routine Inspection","2950","Slows BBQ","2-401.11","(A)    An EMPLOYEE shall eat, drink, or use any form of tobacco only in designated areas where the contamination of exposed FOOD; clean EQUIPMENT, UTENSILS, and LINENS; unwrapped SINGLE-SERVICE and SINGLE-USE ARTICLES; or other items needing protection can not result.
(B)     A FOOD EMPLOYEE may drink from a closed BEVERAGE container if the container is handled to prevent contamination of:
         (1)     The EMPLOYEE'S hands;
         (2)     The container; and
         (3)     Exposed FOOD; clean EQUIPMENT, UTENSILS, and LINENS; and unwrapped SINGLE-SERVICE and SINGLE-USE ARTICLES.
","Core","Beverage container",,,"Stored improperly","With exposed food",,"COOK LINE AREA",,,"True","30","6/23/2022",,"False"
"60024","7/12/2022","Routine Inspection","1675","Popeye's #932","4-602.13","NonFOOD-CONTACT SURFACES of EQUIPMENT shall be cleaned at a frequency necessary to preclude accumulation of soil residues.
","Core","Nonfood contact surface(s)",,,"Soiled",,,"PREP AREA(S)",,,"False","30",,,"False"
"60024","7/12/2022","Routine Inspection","1675","Popeye's #932","6-301.12","Each HANDWASHING SINK or group of adjacent HANDWASHING SINKS shall be provided with:
(A) Individual, disposable towels; (Pf)
(B) A continuous towel system that supplies the user with a clean towel;(Pf) or 
(C) A heated-air hand drying device.(Pf)
(D) A hand drying device that employs an air-knife system that delivers high velocity pressurized air at ambient temperatures.(Pf)
","Foundation","Sanitary hand drying provisions",,,"Not provided",,,"HANDSINK(S)",,,"True","10","7/12/2022",,"True"
"60005","3/21/2022","Routine Inspection","493","Dynasty Chinese Food","2-401.11","(A)    An EMPLOYEE shall eat, drink, or use any form of tobacco only in designated areas where the contamination of exposed FOOD; clean EQUIPMENT, UTENSILS, and LINENS; unwrapped SINGLE-SERVICE and SINGLE-USE ARTICLES; or other items needing protection can not result.
(B)     A FOOD EMPLOYEE may drink from a closed BEVERAGE container if the container is handled to prevent contamination of:
         (1)     The EMPLOYEE'S hands;
         (2)     The container; and
         (3)     Exposed FOOD; clean EQUIPMENT, UTENSILS, and LINENS; and unwrapped SINGLE-SERVICE and SINGLE-USE ARTICLES.
","Core","Employee(s)",,,"Eating",,,"KITCHEN",,,"False","30",,,"False"
"60005","3/21/2022","Routine Inspection","493","Dynasty Chinese Food","4-602.13","NonFOOD-CONTACT SURFACES of EQUIPMENT shall be cleaned at a frequency necessary to preclude accumulation of soil residues.
","Core","Nonfood contact surface(s)",,,"Soiled",,,"KITCHEN",,,"False","30",,,"False"
"60005","3/21/2022","Routine Inspection","493","Dynasty Chinese Food","3-501.17","(A)  READY-TO-EAT, POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD)  prepared and held refrigerated for more than 24 hours in a FOOD ESTABLISHMENT  shall be clearly marked at the time of preparation to indicate the date or day by which the FOOD shall be consumed. (Pf)
(B)  A container of refrigerated, commercially prepared READY-TO-EAT POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD)  shall be clearly marked, at the time the original container is opened in a FOOD ESTABLISHMENT, to indicate the date or day by which the FOOD shall be consumed. (Pf)

A date marking system that does not exceed 7 days, including date of preparation, or opening is to be used. (Pf)
","Foundation","In house prepared ready-to-eat potentially hazardous  food(s)",,,"Without date of consumption marking",,,"KITCHEN","","","True","10","3/21/2022",,"True"
"60005","3/21/2022","Routine Inspection","493","Dynasty Chinese Food","3-305.11","FOOD shall be protected from contamination by storing the FOOD:
(1)     In a clean, dry location;
(2)     Where it is not exposed to splash, dust, or other contamination; and
(3)     At least 15 cm (6 inches) above the floor, unless otherwise approved.
","Core","Food item(s) in storage",,,"Exposed to dust, splash, or other contaminates",,,"WALK-IN COOLER","","","True","30","3/21/2022",,"False"
"60004","3/21/2022","Routine Inspection","1128","Royal Grill","2-401.11","(A)    An EMPLOYEE shall eat, drink, or use any form of tobacco only in designated areas where the contamination of exposed FOOD; clean EQUIPMENT, UTENSILS, and LINENS; unwrapped SINGLE-SERVICE and SINGLE-USE ARTICLES; or other items needing protection can not result.
(B)     A FOOD EMPLOYEE may drink from a closed BEVERAGE container if the container is handled to prevent contamination of:
         (1)     The EMPLOYEE'S hands;
         (2)     The container; and
         (3)     Exposed FOOD; clean EQUIPMENT, UTENSILS, and LINENS; and unwrapped SINGLE-SERVICE and SINGLE-USE ARTICLES.
","Core","Employee(s)",,,"Eating",,,"KITCHEN",,,"False","30",,,"False"
"60003","3/17/2022","Routine Inspection","3134","Cass Community Social Services","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core","Physical facilities/structures",,,"Not clean",,,"KITCHEN",,,"False","30",,,"False"
"59999","3/15/2022","Routine Inspection","51623374","Barda Detroit","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core","Physical facilities/structures",,,"With accumulation of debris",,,"WARE WASHING AREA",,,"False","30",,,"False"
"59999","3/15/2022","Routine Inspection","51623374","Barda Detroit","5-205.11","(A) A HANDWASHING SINK shall be maintained so that it is accessible at all times for EMPLOYEE use and used for no other purpose. (Pf)
(B)  An automatic handwashing facility shall be used in accordance with manufacturer's instructions. (Pf)
","Foundation","Handwashing sink(s)",,,"Not accessible",,,"KITCHEN",,,"True","10","3/15/2022",,"True"
"59993","9/7/2021","Routine Inspection","51623217","Franklin Wright Settlement--Soup/DC Kit","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core",,,,,,,"",,,"False","30",,,"False"
"59992","9/7/2021","Routine Inspection","5413","Franklin Wright Settlement Inc.","6-303.11","Light of the proper intensity shall be provided as specified.
","Core",,,,,,,"",,,"True","30","6/10/2022",,"False"
"59988","6/10/2022","Routine Inspection","5413","Franklin Wright Settlement Inc.","6-301.11","Each HANDWASHING SINK or group of 2 adjacent HANDWASHING SINKS shall be provided with a supply of hand cleaning liquid, powder, or bar soap. (Pf)
","Foundation",,,,,,,"",,,"False","10",,,"True"
"59988","6/10/2022","Routine Inspection","5413","Franklin Wright Settlement Inc.","6-301.12","Each HANDWASHING SINK or group of adjacent HANDWASHING SINKS shall be provided with:
(A) Individual, disposable towels; (Pf)
(B) A continuous towel system that supplies the user with a clean towel;(Pf) or 
(C) A heated-air hand drying device.(Pf)
(D) A hand drying device that employs an air-knife system that delivers high velocity pressurized air at ambient temperatures.(Pf)
","Foundation",,,,,,,"",,,"False","10",,,"True"
"59988","6/10/2022","Routine Inspection","5413","Franklin Wright Settlement Inc.","4-602.13","NonFOOD-CONTACT SURFACES of EQUIPMENT shall be cleaned at a frequency necessary to preclude accumulation of soil residues.
","Core",,,,,,,"",,,"False","30",,,"False"
"59988","6/10/2022","Routine Inspection","5413","Franklin Wright Settlement Inc.","2-103.11","The PERSON IN CHARGE shall ensure that employees, practices and policies are in compliance with the code. (Pf) 
","Foundation","",,,,,,"",,,"False","10",,,"True"
"59988","6/10/2022","Routine Inspection","5413","Franklin Wright Settlement Inc.","4-302.14","A test kit or other device that accurately measures the concentration in mg/L of SANITIZING solutions shall be provided. (Pf)
","Foundation",,,,,,,"",,,"True","10","6/13/2022",,"True"
"59987","6/13/2022","Routine Inspection","529","Woodward Cocktail Bar","2-401.11","(A)    An EMPLOYEE shall eat, drink, or use any form of tobacco only in designated areas where the contamination of exposed FOOD; clean EQUIPMENT, UTENSILS, and LINENS; unwrapped SINGLE-SERVICE and SINGLE-USE ARTICLES; or other items needing protection can not result.
(B)     A FOOD EMPLOYEE may drink from a closed BEVERAGE container if the container is handled to prevent contamination of:
         (1)     The EMPLOYEE'S hands;
         (2)     The container; and
         (3)     Exposed FOOD; clean EQUIPMENT, UTENSILS, and LINENS; and unwrapped SINGLE-SERVICE and SINGLE-USE ARTICLES.
","Core",,,,,,,"",,,"True","30","6/13/2022",,"False"
"59987","6/13/2022","Routine Inspection","529","Woodward Cocktail Bar","4-602.11","(A) Equipment FOOD-CONTACT SURFACES and UTENSILS shall be cleaned:     
  (1) Except as specified in ¶ (B) of this section, before each use with a different   type of raw animal FOOD such as beef, FISH, lamb, pork, or POULTRY; (P)   
  (2) Each time there is a change from working with raw FOODS to working with   READY-TO-EAT FOODS; (P)   
  (3) Between uses with raw fruits and vegetables and with POTENTIALLY   HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD);   (P)   
  (4) Before using or storing a FOOD TEMPERATURE MEASURING   DEVICE; (P) and   
  (5) At any time during the operation when contamination may have occurred. (P)
(B) Subparagraph (A)(1) of this section does not apply if the FOOD-CONTACT SURFACE or UTENSIL is in contact with a succession of different raw animal FOODS each requiring a higher cooking temperature as specified under § 3-401.11 than the previous FOOD, such as preparing raw FISH followed by cutting raw poultry on the same cutting board.   
(C) Except as specified in ¶ (D) of this section, if used with POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD), EQUIPMENT FOOD-CONTACT SURFACES and UTENSILS shall be cleaned throughout the day at least every 4 hours. (P)   
(D) Except when dry cleaning methods are used as specified under § 4-603.11, surfaces of UTENSILS and EQUIPMENT contacting FOOD that is not POTENTIALLY HAZARDOUS (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD) shall be cleaned:     
  (1)   At any time when contamination may have occurred;
  (2)   At least every 24 hours for iced tea dispensers and CONSUMER self-service UTENSILS such as tongs, scoops, or ladles;
  (3) Before restocking CONSUMER self-service EQUIPMENT and UTENSILS such as condiment dispensers and display containers; and
  (4) In EQUIPMENT such as ice bins and BEVERAGE dispensing nozzles and   enclosed components of EQUIPMENT such as ice makers, cooking oil storage   tanks and distribution lines, BEVERAGE and syrup dispensing lines or tubes,   coffee bean grinders, and water vending EQUIPMENT:
     (a) At a frequency specified by the manufacturer, or
     (b) Absent manufacturer specifications, at a frequency necessary to preclude      accumulation of soil or mold.","Core",,,,,,,"",,,"True","10","6/13/2022",,"False"
"59987","6/13/2022","Routine Inspection","529","Woodward Cocktail Bar","4-501.14","A WAREWASHING machine; the compartments of sinks, basins, or  other receptacles used for washing and rinsing EQUIPMENT, UTENSILS, or raw FOODS, or laundering wiping cloths; and drainboards or other EQUIPMENT used to substitute for drainboards shall be cleaned as required.
","Core",,,,,,,"",,,"True","30","6/13/2022",,"False"
"59987","6/13/2022","Routine Inspection","529","Woodward Cocktail Bar","4-302.14","A test kit or other device that accurately measures the concentration in mg/L of SANITIZING solutions shall be provided. (Pf)
","Foundation",,,,,,,"",,,"True","10","6/13/2022",,"True"
"59986","6/20/2022","Routine Inspection","51622770","Small World Kitchen","4-602.13","NonFOOD-CONTACT SURFACES of EQUIPMENT shall be cleaned at a frequency necessary to preclude accumulation of soil residues.
","Core",,,,,,,"",,,"False","30",,,"False"
"59986","6/20/2022","Routine Inspection","51622770","Small World Kitchen","3-305.11","FOOD shall be protected from contamination by storing the FOOD:
(1)     In a clean, dry location;
(2)     Where it is not exposed to splash, dust, or other contamination; and
(3)     At least 15 cm (6 inches) above the floor, unless otherwise approved.
","Core",,,,,,,"",,,"True","30","6/20/2022",,"False"
