"establishment_id","name","address","zip_code","owner","license_number","license_type","most_recent_license_date","establishment_type","status","restaurant_complexity_level","review_frequency_in_days","address_id","lat","lon"
"1106","Music Hall Center","350 Madison","48226","Music Hall Center","035181","Fixed Establishment","5/11/2022","Food Service Establishment","Open",,"335","20203","42.3370202919823","-83.0457627716654"
"1107","Crowell Center","16630 Lahser Ave.","48219","Detroit Area Agency on Aging","035182","Fixed Establishment","6/22/2009","Food Service Establishment","Temporarily Closed",,"335","126668","42.4104459814156","-83.2566041645752"
"1108","Flood's Bar & Grill","731 St. Antoine","48226","Michael C. Byrd","035183","Fixed Establishment","5/11/2022","Food Service Establishment","Open","High","150","348130","42.3338661099999","-83.03932189"
"1109","Kentucky Fried Chicken H730207","15700 E. Eight Mile Rd.","48205","FQSR LLC DBA KBP Foods","202818","Fixed Establishment","4/26/2022","Food Service Establishment","Open","Medium","150","125086","42.4497863351068","-82.9589828704291"
"1110","Pepe's Bar","6538 Michigan","48210","Jose Castillo","035185","Fixed Establishment","12/4/2006","Food Service Establishment","Permanently Closed",,"515","215351","42.3314918007863","-83.1245020995614"
"1111","Nathan's Deli","581 Jefferson Ave. E.","48226","MARE MARTINI","035186","Fixed Establishment",,"Food Service Establishment","Open",,"150","3567","42.3317441030008","-83.0386449632103"
"1112","MCNamara Building (Cafeteria) #75","477 Michigan Ave.","48226","Michigan Commission for the Bl","035188","Fixed Establishment",,"Food Service Establishment","Open",,"150","297322","42.3311589046361","-83.0532027964653"
"1113","Ronald Brown Academy (Main Bldg.)","11450 Outer Dr. E.","48224","Detroit Board of Education","035190","Fixed Establishment","6/8/2021","Public School","Open",,"180","347595","42.4048239544461","-82.9483119031767"
"1114","Hosmer Elementary","4365 Newport","48215","Detroit Board of Detroit","035191","Fixed Establishment","12/4/2006","Food Service Establishment","Open",,"150","539710","42.3900872377499","-82.9587383727929"
"1115","Hanstein Elementary School","4290 Marseilles","48224","Detroit Board of Education","035192","Fixed Establishment","6/23/2010","Public School","Open",,"250","369584","42.4045252847285","-82.9176052546899"
"1116","Marquette Elementary School (Annex)","6145 Canyon","48236","Detroit Board of Education","035193","Fixed Establishment","4/22/2022","Public School","Open","Medium","180","308764","42.4195937214344","-82.9227132153323"
"1117","Northwest Early Childhood Center","13735 Seven Mile Rd. W.","48235","Detroit Board of Education","035194","Fixed Establishment","5/21/2008","Public School","Open",,"150","220356","42.430724502074","-83.182374506531"
"1118","Bow Elementary School","19801 Prevost","48235","Detroit Board of Education","035195","Fixed Establishment","6/1/2020","Public School","Open",,"180","63158","42.4368813018442","-83.2048849782731"
"1119","Paul Roberson/ Malcolm X. Academy","2585 Grove","48221","Detroit Board of Education","035196","Fixed Establishment","6/1/2020","Public School","Open",,"180","28344","42.4145073271675","-83.1274319292445"
"1120","John J Bagley Elementary School","8100 Curtis","48221","Detroit Board of Education","035197","Fixed Establishment","6/1/2020","Public School","Open",,"150","6015","42.4247960029007","-83.1521822777755"
"1121","Club 228","18728 Ford Rd.","48228","Alissa Katzman","102918jb","Fixed Establishment",,"Food Service Establishment","Open",,"150","215157","42.3292806050951","-83.2234776236132"
"1122","Greenfield Union Annex","19150 Blake St.","48238","Board Of Education","081146","Fixed Establishment","4/15/2019","Public School","Open",,"180",,,
"1123","Grayling Elementary","744 Adeline W.","48238","Detroit Board Of Education","035200","Fixed Establishment",,"Public School","Permanently Closed",,"150","481052","42.4389663008693","-83.1113612914739"
"1124","Marshall Elementary School","1255 State Fair E.","48203","Detroit Board of Education","035201","Fixed Establishment","7/27/2009","Public School","Permanently Closed",,"180","535253","42.4408074168012","-83.0913991083249"
"1125","Donut Villa","5875 Vernor St.W.","48209","Gabriel Gutierrez","233748","Fixed Establishment","12/9/2021","Food Service Establishment","Open",,"335","178022","42.3162906256325","-83.1050619980038"
"1126","Burger King #1640","6251 Vernor St.W.","48209","Excel Services, Inc.","035203","Fixed Establishment","4/13/2016","Food Service Establishment","Open",,"335","220083","42.3153601411961","-83.1089422625598"
"1127","Dossin Elementary","16650 Glendale","48227","Detroit Board of Education","035205","Fixed Establishment",,"Public School","Open",,"180","352126","42.3833287689727","-83.2110116644943"
"1128","Royal Grill","9850 Livernois Ave.","48204","Martin Inc.","050713","Fixed Establishment","4/26/2022","Food Service Establishment","Open","High","150","72424","42.3698309210998","-83.1384359263336"
"1129","Davis Aerospace High School","10200 Erwin","48234","Detroit Board of Education","035207","Fixed Establishment",,"Public School","Open",,"180","227942","42.4043036819416","-83.017707226473"
"1130","Mike's Coney Island","19241 Joy Rd.","48228","Antonella Berisha","035208","Fixed Establishment","5/2/2017","Food Service Establishment","Open","High","150","538762","42.3573304830851","-83.2294778059558"
"1131","Clara Rutherford/Winans Academy","16411 Curtis Ave.","48235","Detroit Board of Education","035209","Fixed Establishment","4/15/2019","Public School","Open","Medium","180","65338","42.4224627498642","-83.2097409531964"
"1132","Cas Bar","7800 Michigan Ave.","48210","Vandenboss Inc","255894","Fixed Establishment",,"Food Service Establishment","Open","Medium","335","217062","42.3313817349739","-83.1389594712875"
"1133","Hubert Elementary School","14825 Lamphere Rd.","48238","Detroit Board of Education","035212","Fixed Establishment","12/4/2006","Public School","Permanently Closed",,"150","537841","42.3961485331708","-83.2623087984393"
"1134","Burger King #4724","1425 Lafayette W.","48216","Excel Services, Inc.","035213","Fixed Establishment","4/19/2018","Food Service Establishment","Open",,"335","284918","42.3254803813536","-83.0614579106692"
"1135","Detroit Marriott Main Kitchen Hotel","400 Rennaissance Center","48243","River Front Holdings, Inc.","035214","Fixed Establishment","5/10/2022","Food Service Establishment","Open","High","150","347921","42.3298225399999","-83.04071807"
"1136","Monnier Elementary","13600 Ward","48227","Detroit Board of Education","035215","Fixed Establishment","12/4/2006","Public School","Permanently Closed",,"180","537469","42.3865535679662","-83.1724958296855"
"1137","Weatherby Elementary School","20500 Wadsworth","48228","Detroit Board of Education","035216","Fixed Establishment","12/4/2006","Public School","Permanently Closed",,"180",,,
"1138","DC's Alabama Style Chicken","15401 Mack Ave.","48224","Damon R. Clark","072455","Fixed Establishment","5/13/2013","Food Service Establishment","Open",,"335","313897","42.3884395386817","-82.9425292424153"
"1139","Church's Fried Chicken #648","2928 Seven Mile Rd. E.","48211","QSR Midwest Group LLC","249336","Fixed Establishment","4/30/2021","Food Service Establishment","Open","Medium","150","291439","42.4327475580716","-83.0730198144619"
"1140","Masonic Temple","500 Temple","48201","Masonic Temple Assoc. of Det.","035221","Fixed Establishment","5/22/2020","Food Service Establishment","Open","Medium","335","219519","42.3417501427449","-83.0601238245328"
"1141","Evan's Club 500/Bea's Comedy","541 Larned  E.","48226","Steven M. Mamminga","035222","Fixed Establishment",,"Food Service Establishment","Permanently Closed",,"150","348030","42.3320978300003","-83.039826966342"
"1142","C Note Lounge","18912 Van Dyke Ave.","49234","LLOYD GERALD","217949","Fixed Establishment","4/19/2022","Food Service Establishment","Open","Low","335",,,
"1143","Boys & Girls Clubs of S.E. Michigan","20100 Schoenherr","48205","Boys and Girls Clubs of SEM","035224","Fixed Establishment","6/9/2008","Food Service Establishment","Permanently Closed",,"335","352997","42.4452559668873","-82.9851370415607"
"1144","Church's Fried Chicken #785","16100 Livernois Ave.","48221","QSR Midwest Grp., LLC","238094","Fixed Establishment","4/12/2022","Food Service Establishment","Open","Medium","150","28580","42.4101894197733","-83.1400390452805"
"1145","Great Wall Carryout Restaurant","11065 Gratiot Ave.","48213","Choi Ping Chen Lam","035227","Fixed Establishment","4/21/2010","Food Service Establishment","Open",,"150","542162","42.4072318627662","-82.9963740820674"
"1146","Church's Fried Chicken #855","9137 Grand River Ave. W.","48204","QSR Midwest Grp LLC","243188","Fixed Establishment","4/30/2021","Food Service Establishment","Open","Medium","150","53793","42.3649378464108","-83.1304908057224"
"1147","El Rancho Mexican Restaurant","5900 Vernor St.W.","48209","Alfonso Avila","035230","Fixed Establishment","4/18/2019","Food Service Establishment","Open",,"150","349550","42.3165304053085","-83.1057613008146"
"1148","Cobo Arena","600 Civic Center Dr.","48226","Olympia Entertainment","035231","Fixed Establishment","7/20/2009","Food Service Establishment","Open",,"150","545030","42.3253296681367","-83.0512781218579"
"1149","Church's Fried Chicken #863","2757 Davison Ave. W.","48238","Falcon Holdings LLC","035232","Fixed Establishment","4/20/2016","Food Service Establishment","Permanently Closed",,"150","437931","42.3917517977207","-83.1244008230829"
